date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,2
2020-03-15,5
2020-03-16,13
2020-03-17,16
2020-03-18,19
2020-03-19,20
2020-03-20,21
2020-03-21,24
2020-03-22,31
2020-03-23,33
2020-03-24,61
2020-03-25,63
2020-03-26,71
2020-03-27,86
2020-03-28,88
2020-03-29,91
2020-03-30,94
2020-03-31,106
2020-04-01,112
2020-04-02,125
2020-04-03,126
2020-04-04,135
2020-04-05,140
2020-04-06,145
2020-04-07,165
2020-04-08,184
2020-04-09,224
2020-04-10,227
2020-04-11,250
2020-04-12,283
2020-04-13,362
2020-04-14,377
2020-04-15,387
2020-04-16,423
2020-04-17,449
2020-04-18,480
2020-04-19,510
2020-04-20,561
2020-04-21,598
2020-04-22,604
2020-04-23,630
2020-04-24,669
2020-04-25,703
2020-04-26,731
2020-04-27,763
2020-04-28,780
2020-04-29,790
2020-04-30,799
2020-05-01,806
2020-05-02,813
2020-05-03,823
2020-05-04,851
2020-05-05,855
2020-05-06,856
2020-05-07,860
2020-05-08,861
2020-05-09,862
2020-05-10,870
2020-05-11,884
2020-05-12,895
2020-05-13,919
2020-05-14,927
2020-05-15,945
2020-05-16,955
2020-05-17,978
2020-05-18,985
2020-05-19,988
2020-05-20,989
2020-05-21,1003
2020-05-22,1004
2020-05-23,1025
2020-05-24,1032
2020-05-25,1038
2020-05-26,1038
2020-05-27,1047
2020-05-28,1048
2020-05-29,1052
2020-05-30,1064
2020-05-31,1070
2020-06-01,1083
2020-06-02,1110
2020-06-03,1123
2020-06-04,1142
2020-06-05,1147
2020-06-06,1158
2020-06-07,1194
2020-06-08,1234
2020-06-09,1263
2020-06-10,1269
2020-06-11,1298
2020-06-12,1326
2020-06-13,1384
2020-06-14,1437
2020-06-15,1486
2020-06-16,1615
2020-06-17,1756
2020-06-18,1833
2020-06-19,1916
2020-06-20,1998
2020-06-21,2073
2020-06-22,2169
2020-06-23,2216
2020-06-24,2268
2020-06-25,2363
2020-06-26,2432
2020-06-27,2494
2020-06-28,2590
2020-06-29,2677
2020-06-30,2799
2020-07-01,2878
2020-07-02,2991
2020-07-03,3064
2020-07-04,3178
2020-07-05,3356
2020-07-06,3508
2020-07-07,3703
2020-07-08,3886
2020-07-09,4100
2020-07-10,4307
2020-07-11,4512
2020-07-12,4715
2020-07-13,4931
2020-07-14,5118
2020-07-15,5237
2020-07-16,5369
2020-07-17,5472
2020-07-18,5617
2020-07-19,5735
2020-07-20,5877
2020-07-21,6045
2020-07-22,6286
2020-07-23,6467
2020-07-24,6680
2020-07-25,6917
2020-07-26,7137
2020-07-27,7413
2020-07-28,7652
2020-07-29,7846
2020-07-30,8104
2020-07-31,8330
2020-08-01,8554
2020-08-02,8799
2020-08-03,9049
2020-08-04,9274
2020-08-05,9492
2020-08-06,9688
2020-08-07,9869
2020-08-08,10059
2020-08-09,10247
2020-08-10,10419
2020-08-11,10590
2020-08-12,10795
2020-08-13,10988
2020-08-14,11130
2020-08-15,11275
2020-08-16,11416
2020-08-17,11545
2020-08-18,11686
2020-08-19,11848
2020-08-20,12006
2020-08-21,12168
2020-08-22,12337
2020-08-23,12448
2020-08-24,12547
2020-08-25,12683
2020-08-26,12840
2020-08-27,12981
2020-08-28,13100
2020-08-29,13215
2020-08-30,13334
2020-08-31,13454
2020-09-01,13601
2020-09-02,13713
2020-09-03,13791
2020-09-04,13910
2020-09-05,14027
2020-09-06,14119
2020-09-07,14204
2020-09-08,14301
2020-09-09,14377
2020-09-10,14446
2020-09-11,14496
2020-09-12,14566
2020-09-13,14637
2020-09-14,14692
2020-09-15,14763
2020-09-16,14839
2020-09-17,14882
2020-09-18,14939
2020-09-19,15002
2020-09-20,15063
2020-09-21,15142
2020-09-22,15208
2020-09-23,15270
2020-09-24,15333
2020-09-25,15379
2020-09-26,15425
2020-09-27,15472
2020-09-28,15520
2020-09-29,15574
2020-09-30,15620
2020-10-01,15663
2020-10-02,15705
2020-10-03,15758
2020-10-04,15814
2020-10-05,15855
2020-10-06,15889
2020-10-07,15938
2020-10-08,15938
2020-10-09,15971
2020-10-10,16130
2020-10-11,16179
2020-10-12,16247
