date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,3
2020-03-17,5
2020-03-18,6
2020-03-19,6
2020-03-20,7
2020-03-21,7
2020-03-22,7
2020-03-23,7
2020-03-24,8
2020-03-25,8
2020-03-26,13
2020-03-27,13
2020-03-28,14
2020-03-29,16
2020-03-30,17
2020-03-31,18
2020-04-01,20
2020-04-02,24
2020-04-03,28
2020-04-04,30
2020-04-05,35
2020-04-06,40
2020-04-07,45
2020-04-08,50
2020-04-09,51
2020-04-10,54
2020-04-11,57
2020-04-12,60
2020-04-13,61
2020-04-14,62
2020-04-15,63
2020-04-16,63
2020-04-17,66
2020-04-18,67
2020-04-19,67
2020-04-20,67
2020-04-21,67
2020-04-22,67
2020-04-23,75
2020-04-24,79
2020-04-25,80
2020-04-26,83
2020-04-27,83
2020-04-28,89
2020-04-29,91
2020-04-30,93
2020-05-01,93
2020-05-02,94
2020-05-03,95
2020-05-04,96
2020-05-05,97
2020-05-06,97
2020-05-07,97
2020-05-08,97
2020-05-09,97
2020-05-10,97
2020-05-11,97
2020-05-12,98
2020-05-13,98
2020-05-14,98
2020-05-15,98
2020-05-16,98
2020-05-17,99
2020-05-18,99
2020-05-19,100
2020-05-20,100
2020-05-21,101
2020-05-22,101
2020-05-23,102
2020-05-24,102
2020-05-25,102
2020-05-26,103
2020-05-27,103
2020-05-28,103
2020-05-29,103
2020-05-30,103
2020-05-31,103
2020-06-01,102
2020-06-02,102
2020-06-03,102
2020-06-04,102
2020-06-05,102
2020-06-06,102
2020-06-07,102
2020-06-08,102
2020-06-09,102
2020-06-10,102
2020-06-11,102
2020-06-12,102
2020-06-13,102
2020-06-14,102
2020-06-15,102
2020-06-16,102
2020-06-17,102
2020-06-18,102
2020-06-19,102
2020-06-20,102
2020-06-21,102
2020-06-22,102
2020-06-23,103
2020-06-24,104
2020-06-25,104
2020-06-26,104
2020-06-27,104
2020-06-28,104
2020-06-29,104
2020-06-30,104
2020-07-01,104
2020-07-02,104
2020-07-03,104
2020-07-04,104
2020-07-05,106
2020-07-06,106
2020-07-07,106
2020-07-08,106
2020-07-09,106
2020-07-10,107
2020-07-11,108
2020-07-12,108
2020-07-13,108
2020-07-14,111
2020-07-15,113
2020-07-16,116
2020-07-17,118
2020-07-18,122
2020-07-19,123
2020-07-20,126
2020-07-21,128
2020-07-22,133
2020-07-23,139
2020-07-24,145
2020-07-25,155
2020-07-26,161
2020-07-27,167
2020-07-28,176
2020-07-29,189
2020-07-30,196
2020-07-31,201
2020-08-01,208
2020-08-02,221
2020-08-03,232
2020-08-04,247
2020-08-05,255
2020-08-06,266
2020-08-07,278
2020-08-08,295
2020-08-09,313
2020-08-10,331
2020-08-11,352
2020-08-12,361
2020-08-13,375
2020-08-14,379
2020-08-15,396
2020-08-16,421
2020-08-17,438
2020-08-18,450
2020-08-19,463
2020-08-20,472
2020-08-21,485
2020-08-22,502
2020-08-23,517
2020-08-24,525
2020-08-25,549
2020-08-26,572
2020-08-27,583
2020-08-28,600
2020-08-29,611
2020-08-30,652
2020-08-31,657
2020-09-01,663
2020-09-02,678
2020-09-03,737
2020-09-04,748
2020-09-05,753
2020-09-06,762
2020-09-07,770
2020-09-08,781
2020-09-09,788
2020-09-10,797
2020-09-11,803
2020-09-12,810
2020-09-13,816
2020-09-14,816
2020-09-15,824
2020-09-16,832
2020-09-17,837
2020-09-18,844
2020-09-19,849
2020-09-20,851
2020-09-21,854
2020-09-22,859
2020-09-23,861
2020-09-24,869
2020-09-25,870
2020-09-26,872
2020-09-27,875
2020-09-28,882
2020-09-29,886
2020-09-30,888
2020-10-01,890
2020-10-02,893
2020-10-03,894
2020-10-04,894
2020-10-05,895
2020-10-06,897
2020-10-07,897
2020-10-08,897
2020-10-09,897
2020-10-10,898
2020-10-11,898
2020-10-12,899
