date,deaths
2020-01-22,17
2020-01-23,18
2020-01-24,26
2020-01-25,42
2020-01-26,56
2020-01-27,82
2020-01-28,131
2020-01-29,133
2020-01-30,171
2020-01-31,213
2020-02-01,259
2020-02-02,361
2020-02-03,425
2020-02-04,491
2020-02-05,563
2020-02-06,633
2020-02-07,718
2020-02-08,805
2020-02-09,905
2020-02-10,1012
2020-02-11,1112
2020-02-12,1117
2020-02-13,1369
2020-02-14,1521
2020-02-15,1663
2020-02-16,1766
2020-02-17,1864
2020-02-18,2003
2020-02-19,2116
2020-02-20,2238
2020-02-21,2238
2020-02-22,2443
2020-02-23,2445
2020-02-24,2595
2020-02-25,2665
2020-02-26,2717
2020-02-27,2746
2020-02-28,2790
2020-02-29,2837
2020-03-01,2872
2020-03-02,2914
2020-03-03,2947
2020-03-04,2983
2020-03-05,3015
2020-03-06,3044
2020-03-07,3072
2020-03-08,3100
2020-03-09,3123
2020-03-10,3139
2020-03-11,3161
2020-03-12,3172
2020-03-13,3180
2020-03-14,3193
2020-03-15,3203
2020-03-16,3217
2020-03-17,3230
2020-03-18,3241
2020-03-19,3249
2020-03-20,3253
2020-03-21,3259
2020-03-22,3274
2020-03-23,3274
2020-03-24,3281
2020-03-25,3285
2020-03-26,3291
2020-03-27,3296
2020-03-28,3299
2020-03-29,3304
2020-03-30,3308
2020-03-31,3309
2020-04-01,3316
2020-04-02,3322
2020-04-03,3326
2020-04-04,3330
2020-04-05,3333
2020-04-06,3335
2020-04-07,3335
2020-04-08,3337
2020-04-09,3339
2020-04-10,3340
2020-04-11,3343
2020-04-12,3343
2020-04-13,3345
2020-04-14,3345
2020-04-15,3346
2020-04-16,3346
2020-04-17,4636
2020-04-18,4636
2020-04-19,4636
2020-04-20,4636
2020-04-21,4636
2020-04-22,4636
2020-04-23,4636
2020-04-24,4636
2020-04-25,4636
2020-04-26,4637
2020-04-27,4637
2020-04-28,4637
2020-04-29,4637
2020-04-30,4637
2020-05-01,4637
2020-05-02,4637
2020-05-03,4637
2020-05-04,4637
2020-05-05,4637
2020-05-06,4637
2020-05-07,4637
2020-05-08,4637
2020-05-09,4637
2020-05-10,4637
2020-05-11,4637
2020-05-12,4637
2020-05-13,4637
