date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,4
2020-02-02,5
2020-02-03,5
2020-02-04,5
2020-02-05,5
2020-02-06,5
2020-02-07,5
2020-02-08,7
2020-02-09,7
2020-02-10,8
2020-02-11,8
2020-02-12,8
2020-02-13,8
2020-02-14,8
2020-02-15,8
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,9
2020-02-22,13
2020-02-23,13
2020-02-24,13
2020-02-25,13
2020-02-26,13
2020-02-27,13
2020-02-28,19
2020-02-29,21
2020-03-01,21
2020-03-02,21
2020-03-03,27
2020-03-04,27
2020-03-05,29
2020-03-06,29
2020-03-07,45
2020-03-08,45
2020-03-09,45
2020-03-10,74
2020-03-11,74
2020-03-12,85
2020-03-13,85
2020-03-14,85
2020-03-15,98
2020-03-16,98
2020-03-17,98
2020-03-18,113
2020-03-19,140
2020-03-20,140
2020-03-21,153
2020-03-22,153
2020-03-23,198
2020-03-24,248
2020-03-25,333
2020-03-26,333
2020-03-27,405
2020-03-28,468
2020-03-29,570
2020-03-30,611
2020-03-31,664
2020-04-01,814
2020-04-02,1024
2020-04-03,1264
2020-04-04,1505
2020-04-05,1799
2020-04-06,2076
2020-04-07,2359
2020-04-08,2659
2020-04-09,2990
2020-04-10,3360
2020-04-11,3736
2020-04-12,4123
2020-04-13,4521
2020-04-14,4933
2020-04-15,5365
2020-04-16,5825
2020-04-17,6302
2020-04-18,6302
2020-04-19,6781
2020-04-20,7265
2020-04-21,7755
2020-04-22,8238
2020-04-23,8756
2020-04-24,9281
2020-04-25,9813
2020-04-26,10349
2020-04-27,10839
2020-04-28,11380
2020-04-29,11929
2020-04-30,12481
2020-05-01,13038
2020-05-02,13599
2020-05-03,14163
2020-05-04,14730
2020-05-05,15192
2020-05-06,15738
2020-05-07,16240
2020-05-08,16793
2020-05-09,17417
2020-05-10,18198
2020-05-11,18878
2020-05-12,19661
2020-05-13,20386
2020-05-14,21084
2020-05-15,21831
2020-05-16,22627
2020-05-17,23358
2020-05-18,24190
2020-05-19,25063
2020-05-20,26004
2020-05-21,26898
2020-05-22,27892
2020-05-23,28704
2020-05-24,29485
2020-05-25,30307
2020-05-26,31086
2020-05-27,31969
2020-05-28,32532
2020-05-29,33170
2020-05-30,33896
2020-05-31,34557
2020-06-01,35192
2020-06-02,35788
2020-06-03,36359
2020-06-04,37018
2020-06-05,37642
2020-06-06,38268
2020-06-07,38808
2020-06-08,39376
2020-06-09,39904
2020-06-10,40507
2020-06-11,40986
2020-06-12,41499
2020-06-13,41990
2020-06-14,42294
2020-06-15,42636
2020-06-16,42982
2020-06-17,43364
2020-06-18,43752
2020-06-19,44145
2020-06-20,44533
2020-06-21,44925
2020-06-22,45303
2020-06-23,45683
2020-06-24,46133
2020-06-25,46563
2020-06-26,46973
2020-06-27,47360
2020-06-28,47797
2020-06-29,48246
2020-06-30,48667
2020-07-01,49069
2020-07-02,49469
2020-07-03,50141
2020-07-04,50857
2020-07-05,51540
2020-07-06,52068
2020-07-07,52600
2020-07-08,53045
2020-07-09,53577
2020-07-10,54050
2020-07-11,54453
2020-07-12,54854
2020-07-13,55198
2020-07-14,55573
2020-07-15,55848
2020-07-16,56129
2020-07-17,56422
2020-07-18,56711
2020-07-19,56922
2020-07-20,57193
2020-07-21,57498
2020-07-22,57734
2020-07-23,57988
2020-07-24,58249
2020-07-25,58562
2020-07-26,58913
2020-07-27,59177
2020-07-28,59546
2020-07-29,59921
2020-07-30,60223
2020-07-31,60506
2020-08-01,60760
2020-08-02,60999
2020-08-03,61163
2020-08-04,61352
2020-08-05,61606
2020-08-06,61845
2020-08-07,62061
2020-08-08,62300
