date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,2.0
2020-02-28,1.0
2020-02-29,0.0
2020-03-01,3.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,2.0
2020-03-05,22.0
2020-03-06,14.0
2020-03-07,1.0
2020-03-08,27.0
2020-03-09,0.0
2020-03-10,16.0
2020-03-11,10.0
2020-03-12,0.0
2020-03-13,91.0
2020-03-14,38.0
2020-03-15,103.0
2020-03-16,0.0
2020-03-17,56.0
2020-03-18,31.0
2020-03-19,0.0
2020-03-20,77.0
2020-03-21,35.0
2020-03-22,94.0
2020-03-23,71.0
2020-03-24,48.0
2020-03-25,78.0
2020-03-26,71.0
2020-03-27,74.0
2020-03-28,95.0
2020-03-29,95.0
2020-03-30,56.0
2020-03-31,102.0
2020-04-01,101.0
2020-04-02,129.0
2020-04-03,69.0
2020-04-04,60.0
2020-04-05,62.0
2020-04-06,20.0
2020-04-07,77.0
2020-04-08,52.0
2020-04-09,71.0
2020-04-10,56.0
2020-04-11,70.0
2020-04-12,33.0
2020-04-13,31.0
2020-04-14,25.0
2020-04-15,22.0
2020-04-16,15.0
2020-04-17,17.0
2020-04-18,11.0
2020-04-19,0.0
2020-04-20,10.0
2020-04-21,156.0
2020-04-22,7.0
2020-04-23,55.0
2020-04-24,27.0
2020-04-25,16.0
2020-04-26,11.0
2020-04-27,17.0
2020-04-28,32.0
2020-04-29,10.0
2020-04-30,15.0
2020-05-01,21.0
2020-05-02,8.0
2020-05-03,6.0
2020-05-04,6.0
2020-05-05,10.0
2020-05-06,21.0
2020-05-07,15.0
2020-05-08,13.0
2020-05-09,19.0
2020-05-10,6.0
2020-05-11,10.0
2020-05-12,18.0
2020-05-13,16.0
2020-05-14,10.0
2020-05-15,40.0
2020-05-16,9.0
2020-05-17,15.0
2020-05-18,2.0
2020-05-19,4.0
2020-05-20,10.0
2020-05-21,3.0
2020-05-22,21.0
2020-05-23,2.0
2020-05-24,2.0
2020-05-25,4.0
2020-05-26,10.0
2020-05-27,11.0
2020-05-28,3.0
2020-05-29,3.0
2020-05-30,6.0
