date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,5
2020-03-24,6
2020-03-25,6
2020-03-26,6
2020-03-27,6
2020-03-28,6
2020-03-29,6
2020-03-30,6
2020-03-31,9
2020-04-01,13
2020-04-02,13
2020-04-03,16
2020-04-04,16
2020-04-05,22
2020-04-06,26
2020-04-07,26
2020-04-08,26
2020-04-09,26
2020-04-10,35
2020-04-11,35
2020-04-12,35
2020-04-13,35
2020-04-14,35
2020-04-15,35
2020-04-16,35
2020-04-17,35
2020-04-18,35
2020-04-19,35
2020-04-20,54
2020-04-21,54
2020-04-22,54
2020-04-23,54
2020-04-24,54
2020-04-25,54
2020-04-26,64
2020-04-27,64
2020-04-28,64
2020-04-29,64
2020-04-30,64
2020-05-01,90
2020-05-02,90
2020-05-03,90
2020-05-04,96
2020-05-05,96
2020-05-06,96
2020-05-07,140
2020-05-08,242
2020-05-09,284
2020-05-10,319
2020-05-11,319
2020-05-12,327
2020-05-13,327
2020-05-14,339
2020-05-15,339
2020-05-16,339
2020-05-17,339
2020-05-18,339
2020-05-19,130
2020-05-20,130
2020-05-21,135
2020-05-22,135
2020-05-23,135
2020-05-24,191
2020-05-25,191
2020-05-26,208
2020-05-27,210
2020-05-28,210
2020-05-29,224
2020-05-30,224
2020-05-31,232
2020-06-01,243
2020-06-02,244
2020-06-03,244
2020-06-04,261
2020-06-05,261
2020-06-06,261
2020-06-07,261
2020-06-08,288
2020-06-09,305
2020-06-10,305
2020-06-11,305
2020-06-12,388
2020-06-13,412
2020-06-14,442
2020-06-15,483
2020-06-16,532
2020-06-17,572
2020-06-18,597
2020-06-19,650
2020-06-20,650
2020-06-21,765
2020-06-22,807
2020-06-23,850
2020-06-24,902
2020-06-25,1017
2020-06-26,1053
2020-06-27,1124
2020-06-28,1149
2020-06-29,1187
2020-06-30,1199
2020-07-01,1199
2020-07-02,1199
2020-07-03,1199
2020-07-04,1199
2020-07-05,1199
2020-07-06,1199
2020-07-07,1199
2020-07-08,1199
2020-07-09,1285
2020-07-10,1285
2020-07-11,1378
2020-07-12,1378
2020-07-13,1378
2020-07-14,1378
2020-07-15,1378
2020-07-16,1463
2020-07-17,1602
2020-07-18,1602
2020-07-19,1602
2020-07-20,1602
2020-07-21,1602
2020-07-22,1690
2020-07-23,1694
2020-07-24,1694
2020-07-25,1694
2020-07-26,1770
2020-07-27,1770
2020-07-28,1770
2020-07-29,1805
2020-07-30,1805
2020-07-31,1805
2020-08-01,1805
2020-08-02,1805
2020-08-03,1805
2020-08-04,1914
2020-08-05,1936
2020-08-06,1936
2020-08-07,1936
2020-08-08,1936
2020-08-09,1936
2020-08-10,1936
2020-08-11,2001
2020-08-12,2014
2020-08-13,2014
2020-08-14,2014
2020-08-15,2063
2020-08-16,2063
2020-08-17,2063
2020-08-18,2063
2020-08-19,2095
2020-08-20,2095
2020-08-21,2095
2020-08-22,2115
2020-08-23,2115
2020-08-24,2115
2020-08-25,2115
2020-08-26,2145
2020-08-27,2145
2020-08-28,2145
2020-08-29,2145
2020-08-30,2145
2020-08-31,2145
2020-09-01,2145
2020-09-02,2194
2020-09-03,2194
2020-09-04,2194
2020-09-05,2213
2020-09-06,2213
2020-09-07,2213
2020-09-08,2213
2020-09-09,2242
2020-09-10,2242
2020-09-11,2242
2020-09-12,2242
2020-09-13,2267
2020-09-14,2267
2020-09-15,2267
2020-09-16,2280
2020-09-17,2280
2020-09-18,2280
2020-09-19,2280
2020-09-20,2280
2020-09-21,2294
2020-09-22,2294
2020-09-23,2325
2020-09-24,2325
2020-09-25,2325
2020-09-26,2325
2020-09-27,2340
2020-09-28,2340
2020-09-29,2340
2020-09-30,2357
2020-10-01,2357
2020-10-02,2357
2020-10-03,2357
2020-10-04,2357
2020-10-05,2357
2020-10-06,2357
2020-10-07,2411
2020-10-08,2411
2020-10-09,2411
2020-10-10,2411
2020-10-11,2411
2020-10-12,2411
