date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,5
2020-03-18,6
2020-03-19,9
2020-03-20,9
2020-03-21,14
2020-03-22,14
2020-03-23,25
2020-03-24,73
2020-03-25,80
2020-03-26,96
2020-03-27,101
2020-03-28,101
2020-03-29,165
2020-03-30,168
2020-03-31,179
2020-04-01,190
2020-04-02,194
2020-04-03,218
2020-04-04,245
2020-04-05,261
2020-04-06,323
2020-04-07,349
2020-04-08,384
2020-04-09,444
2020-04-10,444
2020-04-11,533
2020-04-12,574
2020-04-13,626
2020-04-14,638
2020-04-15,638
2020-04-16,654
2020-04-17,688
2020-04-18,801
2020-04-19,847
2020-04-20,847
2020-04-21,916
2020-04-22,952
2020-04-23,1004
2020-04-24,1077
2020-04-25,1077
2020-04-26,1150
2020-04-27,1164
2020-04-28,1183
2020-04-29,1238
2020-04-30,1275
2020-05-01,1333
2020-05-02,1362
2020-05-03,1398
2020-05-04,1432
2020-05-05,1464
2020-05-06,1516
2020-05-07,1571
2020-05-08,1602
2020-05-09,1667
2020-05-10,1700
2020-05-11,1730
2020-05-12,1857
2020-05-13,1912
2020-05-14,1971
2020-05-15,2017
2020-05-16,2061
2020-05-17,2109
2020-05-18,2119
2020-05-19,2153
2020-05-20,2231
2020-05-21,2301
2020-05-22,2341
2020-05-23,2366
2020-05-24,2376
2020-05-25,2423
2020-05-26,2477
2020-05-27,2556
2020-05-28,2641
2020-05-29,2750
2020-05-30,2799
2020-05-31,2833
2020-06-01,2951
2020-06-02,3024
2020-06-03,3110
2020-06-04,3262
2020-06-05,3431
2020-06-06,3557
2020-06-07,3739
2020-06-08,3881
2020-06-09,3995
2020-06-10,4181
2020-06-11,4404
2020-06-12,4684
2020-06-13,4848
2020-06-14,5084
2020-06-15,5439
2020-06-16,5679
2020-06-17,6063
2020-06-18,6444
2020-06-19,6874
2020-06-20,7276
2020-06-21,7492
2020-06-22,7677
2020-06-23,7904
2020-06-24,8164
2020-06-25,8334
2020-06-26,8739
2020-06-27,8944
2020-06-28,9101
2020-06-29,9214
2020-06-30,9499
2020-07-01,9702
2020-07-02,9992
2020-07-03,10244
2020-07-04,10462
2020-07-05,10772
2020-07-06,10966
2020-07-07,11194
2020-07-08,11504
2020-07-09,11750
2020-07-10,12052
2020-07-11,12443
2020-07-12,12766
2020-07-13,12872
2020-07-14,13037
2020-07-15,13403
2020-07-16,13554
2020-07-17,13696
2020-07-18,13912
2020-07-19,14119
2020-07-20,14312
2020-07-21,14531
2020-07-22,14733
2020-07-23,15001
2020-07-24,15253
2020-07-25,15494
2020-07-26,15596
2020-07-27,15655
2020-07-28,15713
2020-07-29,15813
2020-07-30,15978
2020-07-31,16047
2020-08-01,16109
2020-08-02,16182
2020-08-03,16220
2020-08-04,16293
2020-08-05,16349
2020-08-06,16447
2020-08-07,16524
2020-08-08,16620
2020-08-09,16715
