date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,4.0
2020-03-18,0.0
2020-03-19,3.0
2020-03-20,3.0
2020-03-21,5.0
2020-03-22,2.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,3.0
2020-03-26,1.0
2020-03-27,3.0
2020-03-28,6.0
2020-03-29,0.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,1.0
2020-04-02,8.0
2020-04-03,3.0
2020-04-04,11.0
2020-04-05,0.0
2020-04-06,9.0
2020-04-07,7.0
2020-04-08,10.0
2020-04-09,8.0
2020-04-10,31.0
2020-04-11,11.0
2020-04-12,18.0
2020-04-13,1.0
2020-04-14,11.0
2020-04-15,13.0
2020-04-16,16.0
2020-04-17,18.0
2020-04-18,21.0
2020-04-19,22.0
2020-04-20,32.0
2020-04-21,5.0
2020-04-22,22.0
2020-04-23,68.0
2020-04-24,46.0
2020-04-25,43.0
2020-04-26,27.0
2020-04-27,30.0
2020-04-28,0.0
2020-04-29,27.0
2020-04-30,42.0
2020-05-01,45.0
2020-05-02,44.0
2020-05-03,15.0
2020-05-04,27.0
2020-05-05,33.0
2020-05-06,35.0
2020-05-07,34.0
2020-05-08,68.0
2020-05-09,67.0
2020-05-10,85.0
2020-05-11,62.0
2020-05-12,85.0
2020-05-13,143.0
