date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,4
2020-03-05,4
2020-03-06,13
2020-03-07,13
2020-03-08,20
2020-03-09,25
2020-03-10,31
2020-03-11,38
2020-03-12,52
2020-03-13,151
2020-03-14,151
2020-03-15,162
2020-03-16,200
2020-03-17,321
2020-03-18,372
2020-03-19,621
2020-03-20,793
2020-03-21,1021
2020-03-22,1546
2020-03-23,1924
2020-03-24,2247
2020-03-25,2554
2020-03-26,2985
2020-03-27,3417
2020-03-28,3904
2020-03-29,4256
2020-03-30,4579
2020-03-31,5717
2020-04-01,6836
2020-04-02,8044
2020-04-03,9056
2020-04-04,10360
2020-04-05,11130
2020-04-06,12161
2020-04-07,14034
2020-04-08,16170
2020-04-09,18092
2020-04-10,19638
2020-04-11,20727
2020-04-12,22192
2020-04-13,23430
2020-04-14,25262
2020-04-15,28320
2020-04-16,30425
2020-04-17,33682
2020-04-18,36658
2020-04-19,38654
2020-04-20,40743
2020-04-21,43079
2020-04-22,45757
2020-04-23,50036
2020-04-24,54043
2020-04-25,59324
2020-04-26,63100
2020-04-27,67446
2020-04-28,73235
2020-04-29,79685
2020-04-30,87187
2020-05-01,92202
2020-05-02,97100
2020-05-03,101826
2020-05-04,108620
2020-05-05,115455
2020-05-06,126611
2020-05-07,135773
2020-05-08,146894
2020-05-09,156061
2020-05-10,162699
2020-05-11,169594
2020-05-12,178214
2020-05-13,190137
2020-05-14,203165
2020-05-15,220291
2020-05-16,233511
2020-05-17,241080
2020-05-18,255368
2020-05-19,271885
2020-05-20,291579
2020-05-21,310087
2020-05-22,330890
2020-05-23,347398
2020-05-24,363211
2020-05-25,374898
2020-05-26,391222
2020-05-27,411821
2020-05-28,438238
2020-05-29,465166
2020-05-30,498440
2020-05-31,514849
2020-06-01,526447
2020-06-02,555383
2020-06-03,584016
2020-06-04,614941
2020-06-05,645771
2020-06-06,672846
2020-06-07,691758
2020-06-08,707412
2020-06-09,739503
2020-06-10,772416
2020-06-11,802828
2020-06-12,828810
2020-06-13,850514
2020-06-14,867624
2020-06-15,888271
2020-06-16,923189
2020-06-17,955377
2020-06-18,978142
2020-06-19,1032913
2020-06-20,1067579
2020-06-21,1083341
2020-06-22,1106470
2020-06-23,1145906
2020-06-24,1188631
2020-06-25,1228114
2020-06-26,1274974
2020-06-27,1313667
2020-06-28,1344143
2020-06-29,1368195
2020-06-30,1402041
2020-07-01,1448753
2020-07-02,1496858
2020-07-03,1539081
2020-07-04,1577004
2020-07-05,1603055
2020-07-06,1623284
2020-07-07,1668589
2020-07-08,1713160
2020-07-09,1755779
2020-07-10,1800827
2020-07-11,1839850
2020-07-12,1864681
2020-07-13,1884967
2020-07-14,1926824
2020-07-15,1966748
2020-07-16,2012151
2020-07-17,2046328
2020-07-18,2074860
2020-07-19,2098389
2020-07-20,2118646
2020-07-21,2159654
2020-07-22,2227514
2020-07-23,2287475
2020-07-24,2343366
2020-07-25,2394513
2020-07-26,2419091
2020-07-27,2442375
2020-07-28,2483191
2020-07-29,2552265
2020-07-30,2610102
2020-07-31,2662485
2020-08-01,2707877
2020-08-02,2733677
2020-08-03,2750318
2020-08-04,2801921
2020-08-05,2859073
2020-08-06,2912212
2020-08-07,2962442
2020-08-08,3012412
