date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,8
2020-02-04,8
2020-02-05,9
2020-02-06,9
2020-02-07,9
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,15
2020-02-12,16
2020-02-13,17
2020-02-14,18
2020-02-15,18
2020-02-16,18
2020-02-17,19
2020-02-18,19
2020-02-19,20
2020-02-20,22
2020-02-21,23
2020-02-22,23
2020-02-23,28
2020-02-24,30
2020-02-25,34
2020-02-26,37
2020-02-27,44
2020-02-28,56
2020-02-29,61
2020-03-01,94
2020-03-02,134
2020-03-03,189
2020-03-04,246
2020-03-05,295
2020-03-06,374
2020-03-07,429
2020-03-08,483
2020-03-09,630
2020-03-10,889
2020-03-11,1301
2020-03-12,1790
2020-03-13,2270
2020-03-14,2634
2020-03-15,3077
2020-03-16,3692
2020-03-17,4462
2020-03-18,5467
2020-03-19,6533
2020-03-20,7791
2020-03-21,9006
2020-03-22,10395
2020-03-23,12744
2020-03-24,15126
2020-03-25,17843
2020-03-26,20970
2020-03-27,24219
2020-03-28,27062
2020-03-29,29954
2020-03-30,34281
2020-03-31,38815
2020-04-01,43789
2020-04-02,48718
2020-04-03,53699
2020-04-04,57772
2020-04-05,61422
2020-04-06,66738
2020-04-07,72224
2020-04-08,77387
2020-04-09,82293
2020-04-10,86660
2020-04-11,90273
2020-04-12,93812
2020-04-13,98017
2020-04-14,102365
2020-04-15,107465
2020-04-16,112808
2020-04-17,117798
2020-04-18,122534
2020-04-19,126394
2020-04-20,131260
2020-04-21,136035
2020-04-22,141540
2020-04-23,146708
2020-04-24,151689
2020-04-25,155453
2020-04-26,158926
2020-04-27,163630
2020-04-28,168357
2020-04-29,173807
2020-04-30,178771
2020-05-01,183501
2020-05-02,186731
2020-05-03,189708
2020-05-04,193091
2020-05-05,196780
2020-05-06,200616
2020-05-07,204387
2020-05-08,207439
2020-05-09,209589
2020-05-10,211911
2020-05-11,215500
2020-05-12,218895
2020-05-13,222195
2020-05-14,224813
2020-05-15,227334
2020-05-16,229406
2020-05-17,231232
2020-05-18,233809
2020-05-19,236867
2020-05-20,239579
2020-05-21,242133
2020-05-22,244174
2020-05-23,245682
2020-05-24,247037
2020-05-25,248650
2020-05-26,250309
2020-05-27,252118
2020-05-28,253854
2020-05-29,255362
2020-05-30,256469
2020-05-31,257539
2020-06-01,258983
2020-06-02,260453
2020-06-03,261802
2020-06-04,263040
2020-06-05,264150
2020-06-06,264944
2020-06-07,265662
2020-06-08,266756
2020-06-09,267915
2020-06-10,269101
2020-06-11,270108
2020-06-12,271162
2020-06-13,272050
2020-06-14,272857
2020-06-15,273888
2020-06-16,274971
2020-06-17,275970
2020-06-18,276990
2020-06-19,277974
2020-06-20,278640
2020-06-21,279264
2020-06-22,280156
2020-06-23,281038
2020-06-24,281815
2020-06-25,282512
2020-06-26,283151
2020-06-27,283785
2020-06-28,284192
2020-06-29,284812
2020-06-30,285216
2020-07-01,285279
2020-07-02,285285
2020-07-03,285787
2020-07-04,286412
2020-07-05,286931
2020-07-06,287290
2020-07-07,287874
2020-07-08,288511
2020-07-09,289154
2020-07-10,289678
2020-07-11,290504
2020-07-12,291154
2020-07-13,291691
2020-07-14,292931
2020-07-15,293469
2020-07-16,294116
2020-07-17,294803
2020-07-18,295632
2020-07-19,296358
2020-07-20,296944
2020-07-21,297389
2020-07-22,297952
2020-07-23,298731
2020-07-24,299500
2020-07-25,300270
2020-07-26,301020
2020-07-27,301708
2020-07-28,302261
2020-07-29,303063
2020-07-30,303910
2020-07-31,304793
2020-08-01,305562
2020-08-02,306309
2020-08-03,307251
2020-08-04,307926
2020-08-05,308832
2020-08-06,309796
2020-08-07,310696
2020-08-08,311461
2020-08-09,312574
