date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,3
2020-03-23,4
2020-03-24,5
2020-03-25,6
2020-03-26,8
2020-03-27,12
2020-03-28,16
2020-03-29,20
2020-03-30,28
2020-03-31,29
2020-04-01,37
2020-04-02,50
2020-04-03,60
2020-04-04,79
2020-04-05,94
2020-04-06,125
2020-04-07,141
2020-04-08,174
2020-04-09,194
2020-04-10,233
2020-04-11,273
2020-04-12,296
2020-04-13,332
2020-04-14,406
2020-04-15,449
2020-04-16,486
2020-04-17,546
2020-04-18,650
2020-04-19,686
2020-04-20,712
2020-04-21,857
2020-04-22,970
2020-04-23,1069
2020-04-24,1221
2020-04-25,1305
2020-04-26,1351
2020-04-27,1434
2020-04-28,1569
2020-04-29,1732
2020-04-30,1859
2020-05-01,1972
2020-05-02,2061
2020-05-03,2154
2020-05-04,2271
2020-05-05,2507
2020-05-06,2704
2020-05-07,2961
2020-05-08,3160
2020-05-09,3353
2020-05-10,3465
2020-05-11,3573
2020-05-12,3926
2020-05-13,4220
2020-05-14,4477
2020-05-15,4767
2020-05-16,5045
2020-05-17,5177
2020-05-18,5332
2020-05-19,5666
2020-05-20,6090
2020-05-21,6510
2020-05-22,6989
2020-05-23,7179
2020-05-24,7394
2020-05-25,7633
2020-05-26,8134
2020-05-27,8597
2020-05-28,9044
2020-05-29,9415
2020-05-30,9779
2020-05-31,9930
2020-06-01,10167
2020-06-02,10637
2020-06-03,11729
2020-06-04,12545
2020-06-05,13170
2020-06-06,13511
2020-06-07,13699
2020-06-08,14053
2020-06-09,14649
2020-06-10,15357
2020-06-11,15944
2020-06-12,16448
2020-06-13,16872
2020-06-14,17141
2020-06-15,17580
2020-06-16,18310
2020-06-17,19080
2020-06-18,19747
2020-06-19,20394
2020-06-20,20781
2020-06-21,21825
2020-06-22,22584
2020-06-23,23377
2020-06-24,24324
2020-06-25,25060
2020-06-26,25779
2020-06-27,26381
2020-06-28,26648
2020-06-29,27121
2020-06-30,27769
2020-07-01,28510
2020-07-02,29189
2020-07-03,29843
2020-07-04,30366
2020-07-05,30639
2020-07-06,31119
2020-07-07,32014
2020-07-08,32796
2020-07-09,33526
2020-07-10,34191
2020-07-11,34730
2020-07-12,35006
2020-07-13,35491
2020-07-14,36327
2020-07-15,36906
2020-07-16,37574
2020-07-17,38310
2020-07-18,38888
2020-07-19,39184
2020-07-20,39485
2020-07-21,40400
2020-07-22,41190
2020-07-23,41908
2020-07-24,42645
2020-07-25,43374
2020-07-26,43680
2020-07-27,44022
2020-07-28,44876
2020-07-29,45361
2020-07-30,46000
2020-07-31,46688
2020-08-01,47472
2020-08-02,47746
2020-08-03,48012
2020-08-04,48869
2020-08-05,49698
2020-08-06,50517
2020-08-07,51311
2020-08-08,52006
2020-08-09,52298
2020-08-10,53003
