date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,1
2020-01-27,1
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,4
2020-02-01,4
2020-02-02,4
2020-02-03,4
2020-02-04,4
2020-02-05,5
2020-02-06,5
2020-02-07,7
2020-02-08,7
2020-02-09,7
2020-02-10,7
2020-02-11,7
2020-02-12,7
2020-02-13,7
2020-02-14,7
2020-02-15,7
2020-02-16,7
2020-02-17,8
2020-02-18,8
2020-02-19,8
2020-02-20,8
2020-02-21,9
2020-02-22,9
2020-02-23,9
2020-02-24,10
2020-02-25,11
2020-02-26,11
2020-02-27,13
2020-02-28,14
2020-02-29,20
2020-03-01,24
2020-03-02,27
2020-03-03,30
2020-03-04,33
2020-03-05,37
2020-03-06,49
2020-03-07,54
2020-03-08,64
2020-03-09,77
2020-03-10,79
2020-03-11,108
2020-03-12,117
2020-03-13,193
2020-03-14,198
2020-03-15,252
2020-03-16,415
2020-03-17,478
2020-03-18,657
2020-03-19,800
2020-03-20,943
2020-03-21,1277
2020-03-22,1469
2020-03-23,2088
2020-03-24,2790
2020-03-25,3251
2020-03-26,4042
2020-03-27,4682
2020-03-28,5576
2020-03-29,6280
2020-03-30,7398
2020-03-31,8527
2020-04-01,9560
2020-04-02,11284
2020-04-03,12437
2020-04-04,12978
2020-04-05,15756
2020-04-06,16563
2020-04-07,17872
2020-04-08,19141
2020-04-09,20654
2020-04-10,22059
2020-04-11,23316
2020-04-12,24299
2020-04-13,25680
2020-04-14,27035
2020-04-15,28209
2020-04-16,30809
2020-04-17,32814
2020-04-18,34356
2020-04-19,35633
2020-04-20,37658
2020-04-21,39402
2020-04-22,41663
2020-04-23,43299
2020-04-24,44919
2020-04-25,46371
2020-04-26,48033
2020-04-27,49616
2020-04-28,51150
2020-04-29,52865
2020-04-30,54457
2020-05-01,56343
2020-05-02,57926
2020-05-03,60504
2020-05-04,61957
2020-05-05,63215
2020-05-06,64694
2020-05-07,66201
2020-05-08,67674
2020-05-09,68918
2020-05-10,70091
2020-05-11,71264
