date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,2
2020-03-13,6
2020-03-14,10
2020-03-15,18
2020-03-16,28
2020-03-17,44
2020-03-18,51
2020-03-19,60
2020-03-20,73
2020-03-21,77
2020-03-22,82
2020-03-23,97
2020-03-24,102
2020-03-25,102
2020-03-26,106
2020-03-27,106
2020-03-28,113
2020-03-29,117
2020-03-30,122
2020-03-31,143
2020-04-01,146
2020-04-02,151
2020-04-03,159
2020-04-04,166
2020-04-05,176
2020-04-06,178
2020-04-07,185
2020-04-08,189
2020-04-09,190
2020-04-10,190
2020-04-11,198
2020-04-12,210
2020-04-13,217
2020-04-14,233
2020-04-15,238
2020-04-16,238
2020-04-17,244
2020-04-18,254
2020-04-19,271
2020-04-20,304
2020-04-21,310
2020-04-22,330
2020-04-23,368
2020-04-24,420
2020-04-25,460
2020-04-26,523
2020-04-27,588
2020-04-28,619
2020-04-29,649
2020-04-30,663
2020-05-01,690
2020-05-02,705
2020-05-03,718
2020-05-04,751
2020-05-05,771
2020-05-06,797
2020-05-07,824
2020-05-08,835
2020-05-09,847
2020-05-10,863
2020-05-11,869
2020-05-12,889
2020-05-13,915
2020-05-14,925
2020-05-15,935
2020-05-16,960
2020-05-17,981
2020-05-18,992
2020-05-19,1027
2020-05-20,1028
2020-05-21,1055
2020-05-22,1068
2020-05-23,1089
2020-05-24,1141
2020-05-25,1182
2020-05-26,1319
2020-05-27,1469
2020-05-28,1530
2020-05-29,1558
2020-05-30,1620
2020-05-31,1633
2020-06-01,1643
2020-06-02,1683
2020-06-03,1749
2020-06-04,1797
2020-06-05,1801
2020-06-06,1814
2020-06-07,1835
2020-06-08,1857
2020-06-09,1859
2020-06-10,1869
2020-06-11,1877
2020-06-12,1880
2020-06-13,1884
2020-06-14,1889
2020-06-15,1905
2020-06-16,1915
2020-06-17,1924
2020-06-18,1947
2020-06-19,1950
2020-06-20,1950
2020-06-21,1950
2020-06-22,1951
2020-06-23,1991
2020-06-24,2001
2020-06-25,2010
2020-06-26,2014
2020-06-27,2033
2020-06-28,2037
2020-06-29,2039
2020-06-30,2047
2020-07-01,2054
2020-07-02,2066
2020-07-03,2069
2020-07-04,2074
2020-07-05,2076
2020-07-06,2077
2020-07-07,2081
2020-07-08,2094
2020-07-09,2154
2020-07-10,2454
2020-07-11,2511
2020-07-12,2617
2020-07-13,2646
2020-07-14,2665
2020-07-15,2671
2020-07-16,2687
2020-07-17,2697
2020-07-18,2703
2020-07-19,2724
2020-07-20,2730
2020-07-21,2730
2020-07-22,2752
2020-07-23,2753
2020-07-24,2764
2020-07-25,2770
2020-07-26,2782
2020-07-27,2805
2020-07-28,2810
2020-07-29,2810
2020-07-30,2814
2020-07-31,2815
2020-08-01,2815
2020-08-02,2823
2020-08-03,2828
2020-08-04,2834
2020-08-05,2839
2020-08-06,2839
2020-08-07,2839
2020-08-08,2841
2020-08-09,2844
2020-08-10,2871
