date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,1.0
2020-01-28,3.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,1.0
2020-02-01,3.0
2020-02-02,2.0
2020-02-03,2.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,1.0
2020-02-08,0.0
2020-02-09,1.0
2020-02-10,0.0
2020-02-11,2.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,1.0
2020-02-26,10.0
2020-02-27,19.0
2020-02-28,2.0
2020-02-29,31.0
2020-03-01,51.0
2020-03-02,29.0
2020-03-03,37.0
2020-03-04,66.0
2020-03-05,220.0
2020-03-06,188.0
2020-03-07,129.0
2020-03-08,241.0
2020-03-09,136.0
2020-03-10,281.0
2020-03-11,451.0
2020-03-12,170.0
2020-03-13,1597.0
2020-03-14,910.0
2020-03-15,1210.0
2020-03-16,1477.0
2020-03-17,1985.0
2020-03-18,3070.0
2020-03-19,2993.0
2020-03-20,4528.0
2020-03-21,2365.0
2020-03-22,2660.0
2020-03-23,4183.0
2020-03-24,3930.0
2020-03-25,4337.0
2020-03-26,6615.0
2020-03-27,6933.0
2020-03-28,6824.0
2020-03-29,4400.0
2020-03-30,4790.0
2020-03-31,4923.0
2020-04-01,6064.0
2020-04-02,6922.0
2020-04-03,6365.0
2020-04-04,4933.0
2020-04-05,4031.0
2020-04-06,3251.0
2020-04-07,4289.0
2020-04-08,5633.0
2020-04-09,4885.0
