date,current
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,4
2020-02-02,5
2020-02-03,5
2020-02-04,5
2020-02-05,5
2020-02-06,5
2020-02-07,5
2020-02-08,7
2020-02-09,7
2020-02-10,8
2020-02-11,8
2020-02-12,7
2020-02-13,7
2020-02-14,7
2020-02-15,5
2020-02-16,5
2020-02-17,5
2020-02-18,5
2020-02-19,5
2020-02-20,5
2020-02-21,5
2020-02-22,9
2020-02-23,9
2020-02-24,9
2020-02-25,9
2020-02-26,9
2020-02-27,9
2020-02-28,14
2020-02-29,16
2020-03-01,16
2020-03-02,16
2020-03-03,22
2020-03-04,22
2020-03-05,24
2020-03-06,24
2020-03-07,38
2020-03-08,38
2020-03-09,38
2020-03-10,62
2020-03-11,57
2020-03-12,68
2020-03-13,68
2020-03-14,68
2020-03-15,75
2020-03-16,75
2020-03-17,75
2020-03-18,87
2020-03-19,109
2020-03-20,107
2020-03-21,113
