date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,3
2020-03-23,3
2020-03-24,4
2020-03-25,5
2020-03-26,6
2020-03-27,6
2020-03-28,8
2020-03-29,8
2020-03-30,8
2020-03-31,10
2020-04-01,12
2020-04-02,14
2020-04-03,18
2020-04-04,18
2020-04-05,22
2020-04-06,22
2020-04-07,23
2020-04-08,24
2020-04-09,25
2020-04-10,25
2020-04-11,28
2020-04-12,31
2020-04-13,34
2020-04-14,34
2020-04-15,35
2020-04-16,37
2020-04-17,37
2020-04-18,37
2020-04-19,38
2020-04-20,38
2020-04-21,38
2020-04-22,38
2020-04-23,38
2020-04-24,38
2020-04-25,38
2020-04-26,38
2020-04-27,39
2020-04-28,40
2020-04-29,40
2020-04-30,41
2020-05-01,41
2020-05-02,42
2020-05-03,42
2020-05-04,43
2020-05-05,43
2020-05-06,43
2020-05-07,44
2020-05-08,45
2020-05-09,45
2020-05-10,45
2020-05-11,45
2020-05-12,45
2020-05-13,45
2020-05-14,45
2020-05-15,45
2020-05-16,45
2020-05-17,45
2020-05-18,46
2020-05-19,47
2020-05-20,47
2020-05-21,47
2020-05-22,47
2020-05-23,48
2020-05-24,48
2020-05-25,48
2020-05-26,48
2020-05-27,48
2020-05-28,48
2020-05-29,48
2020-05-30,48
2020-05-31,48
2020-06-01,48
2020-06-02,48
2020-06-03,49
2020-06-04,49
2020-06-05,49
2020-06-06,49
2020-06-07,49
2020-06-08,49
2020-06-09,49
2020-06-10,49
2020-06-11,49
2020-06-12,49
2020-06-13,49
2020-06-14,49
2020-06-15,49
2020-06-16,49
2020-06-17,50
2020-06-18,50
2020-06-19,50
2020-06-20,50
2020-06-21,50
2020-06-22,50
2020-06-23,50
2020-06-24,50
2020-06-25,50
2020-06-26,50
2020-06-27,50
2020-06-28,50
2020-06-29,50
2020-06-30,50
2020-07-01,50
2020-07-02,50
2020-07-03,50
2020-07-04,50
2020-07-05,50
2020-07-06,50
2020-07-07,50
2020-07-08,50
2020-07-09,50
2020-07-10,50
2020-07-11,50
2020-07-12,50
2020-07-13,50
2020-07-14,50
2020-07-15,50
2020-07-16,50
2020-07-17,50
2020-07-18,50
2020-07-19,50
2020-07-20,50
2020-07-21,50
2020-07-22,50
2020-07-23,50
2020-07-24,50
2020-07-25,50
2020-07-26,50
2020-07-27,50
2020-07-28,50
2020-07-29,50
2020-07-30,50
2020-07-31,50
2020-08-01,51
2020-08-02,51
2020-08-03,51
2020-08-04,51
2020-08-05,51
2020-08-06,51
2020-08-07,51
2020-08-08,51
2020-08-09,51
2020-08-10,51
