date,confirmed
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,6.0
2020-03-01,10.0
2020-03-02,18.0
2020-03-03,24.0
2020-03-04,38.0
2020-03-05,82.0
2020-03-06,128.0
2020-03-07,188.0
2020-03-08,265.0
2020-03-09,321.0
2020-03-10,382.0
2020-03-11,503.0
2020-03-12,503.0
2020-03-13,806.0
2020-03-14,962.0
2020-03-15,1138.0
2020-03-16,1416.0
2020-03-17,1711.0
2020-03-18,2058.0
2020-03-19,2467.0
2020-03-20,3003.0
2020-03-21,3640.0
2020-03-22,4216.0
