date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,2
2020-03-13,8
2020-03-14,8
2020-03-15,10
2020-03-16,10
2020-03-17,12
2020-03-18,13
2020-03-19,15
2020-03-20,16
2020-03-21,16
2020-03-22,19
2020-03-23,19
2020-03-24,21
2020-03-25,26
2020-03-26,26
2020-03-27,26
2020-03-28,30
2020-03-29,32
2020-03-30,36
2020-03-31,36
2020-04-01,44
2020-04-02,47
2020-04-03,47
2020-04-04,53
2020-04-05,58
2020-04-06,58
2020-04-07,63
2020-04-08,63
2020-04-09,63
2020-04-10,63
2020-04-11,65
2020-04-12,69
2020-04-13,73
2020-04-14,73
2020-04-15,125
2020-04-16,143
2020-04-17,143
2020-04-18,163
2020-04-19,173
2020-04-20,223
2020-04-21,223
2020-04-22,233
2020-04-23,257
2020-04-24,288
2020-04-25,305
2020-04-26,350
2020-04-27,364
2020-04-28,364
2020-04-29,396
2020-04-30,422
2020-05-01,432
2020-05-02,463
2020-05-03,469
2020-05-04,471
2020-05-05,473
2020-05-06,478
2020-05-07,488
2020-05-08,490
2020-05-09,490
2020-05-10,502
2020-05-11,505
2020-05-12,507
2020-05-13,509
2020-05-14,509
2020-05-15,511
2020-05-16,517
2020-05-17,520
2020-05-18,520
2020-05-19,520
2020-05-20,529
2020-05-21,534
2020-05-22,544
2020-05-23,550
2020-05-24,552
2020-05-25,556
2020-05-26,564
2020-05-27,569
2020-05-28,569
2020-05-29,575
2020-05-30,581
2020-05-31,586
2020-06-01,588
2020-06-02,590
2020-06-03,591
2020-06-04,591
2020-06-05,595
2020-06-06,596
2020-06-07,598
2020-06-08,599
2020-06-09,605
2020-06-10,605
2020-06-11,611
2020-06-12,614
2020-06-13,615
2020-06-14,617
2020-06-15,621
2020-06-16,621
2020-06-17,626
2020-06-18,638
2020-06-19,652
2020-06-20,657
2020-06-21,659
2020-06-22,665
2020-06-23,670
2020-06-24,678
2020-06-25,684
2020-06-26,686
2020-06-27,690
2020-06-28,696
2020-06-29,698
2020-06-30,702
2020-07-01,707
2020-07-02,715
2020-07-03,721
2020-07-04,728
2020-07-05,732
2020-07-06,737
2020-07-07,745
2020-07-08,751
2020-07-09,753
2020-07-10,753
2020-07-11,758
2020-07-12,758
2020-07-13,759
2020-07-14,762
2020-07-15,763
2020-07-16,765
2020-07-17,768
2020-07-18,774
2020-07-19,790
2020-07-20,809
2020-07-21,810
2020-07-22,816
2020-07-23,821
2020-07-24,831
2020-07-25,837
2020-07-26,842
2020-07-27,853
2020-07-28,855
2020-07-29,856
2020-07-30,864
2020-07-31,878
2020-08-01,883
2020-08-02,894
2020-08-03,905
2020-08-04,920
2020-08-05,928
2020-08-06,958
2020-08-07,987
2020-08-08,1003
