date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,4.0
2020-03-05,0.0
2020-03-06,12.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,2.0
2020-03-10,13.0
2020-03-11,9.0
2020-03-12,0.0
2020-03-13,47.0
2020-03-14,39.0
2020-03-15,0.0
2020-03-16,40.0
2020-03-17,54.0
2020-03-18,69.0
2020-03-19,265.0
2020-03-20,126.0
2020-03-21,102.0
2020-03-22,121.0
2020-03-23,219.0
2020-03-24,204.0
2020-03-25,235.0
2020-03-26,255.0
2020-03-27,302.0
2020-03-28,294.0
2020-03-29,200.0
2020-03-30,295.0
2020-03-31,325.0
2020-04-01,212.0
2020-04-02,402.0
2020-04-03,424.0
2020-04-04,331.0
2020-04-05,390.0
2020-04-06,370.0
2020-04-07,345.0
