date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,6.0
2020-03-12,0.0
2020-03-13,4.0
2020-03-14,9.0
2020-03-15,12.0
2020-03-16,23.0
2020-03-17,18.0
2020-03-18,27.0
2020-03-19,6.0
2020-03-20,50.0
2020-03-21,38.0
2020-03-22,35.0
2020-03-23,46.0
2020-03-24,101.0
2020-03-25,92.0
2020-03-26,21.0
2020-03-27,48.0
2020-03-28,69.0
2020-03-29,94.0
2020-03-30,96.0
2020-03-31,108.0
2020-04-01,159.0
2020-04-02,96.0
2020-04-03,106.0
2020-04-04,139.0
2020-04-05,79.0
2020-04-06,94.0
2020-04-07,201.0
2020-04-08,274.0
2020-04-09,169.0
2020-04-10,250.0
2020-04-11,236.0
2020-04-12,67.0
2020-04-13,76.0
2020-04-14,127.0
2020-04-15,126.0
2020-04-16,128.0
2020-04-17,206.0
2020-04-18,182.0
2020-04-19,171.0
2020-04-20,185.0
2020-04-21,172.0
2020-04-22,207.0
2020-04-23,205.0
2020-04-24,320.0
2020-04-25,261.0
2020-04-26,237.0
2020-04-27,218.0
2020-04-28,352.0
2020-04-29,258.0
2020-04-30,300.0
2020-05-01,499.0
2020-05-02,279.0
2020-05-03,383.0
2020-05-04,305.0
2020-05-05,640.0
2020-05-06,346.0
2020-05-07,497.0
2020-05-08,595.0
2020-05-09,444.0
2020-05-10,568.0
2020-05-11,550.0
2020-05-12,659.0
2020-05-13,658.0
2020-05-14,680.0
2020-05-15,606.0
2020-05-16,723.0
2020-05-17,635.0
2020-05-18,721.0
2020-05-19,640.0
2020-05-20,752.0
2020-05-21,643.0
2020-05-22,801.0
2020-05-23,1046.0
2020-05-24,998.0
2020-05-25,806.0
2020-05-26,1022.0
2020-05-27,1101.0
2020-05-28,1262.0
2020-05-29,1322.0
