date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,2
2020-03-29,3
2020-03-30,5
2020-03-31,6
2020-04-01,8
2020-04-02,8
2020-04-03,9
2020-04-04,10
2020-04-05,10
2020-04-06,11
2020-04-07,12
2020-04-08,12
2020-04-09,14
2020-04-10,16
2020-04-11,20
2020-04-12,22
2020-04-13,25
2020-04-14,28
2020-04-15,33
2020-04-16,35
2020-04-17,37
2020-04-18,37
2020-04-19,41
2020-04-20,43
2020-04-21,46
2020-04-22,52
2020-04-23,56
2020-04-24,64
2020-04-25,71
2020-04-26,76
2020-04-27,82
2020-04-28,89
2020-04-29,98
2020-04-30,105
2020-05-01,111
2020-05-02,119
2020-05-03,126
2020-05-04,137
2020-05-05,146
2020-05-06,157
2020-05-07,165
2020-05-08,174
2020-05-09,185
2020-05-10,198
2020-05-11,201
2020-05-12,203
2020-05-13,206
2020-05-14,208
2020-05-15,210
2020-05-16,214
2020-05-17,220
2020-05-18,224
2020-05-19,227
2020-05-20,233
2020-05-21,237
2020-05-22,241
2020-05-23,244
2020-05-24,245
2020-05-25,248
2020-05-26,253
2020-05-27,255
2020-05-28,258
2020-05-29,260
2020-05-30,262
2020-05-31,264
2020-06-01,266
2020-06-02,269
2020-06-03,270
2020-06-04,273
2020-06-05,274
2020-06-06,275
2020-06-07,276
2020-06-08,281
2020-06-09,283
2020-06-10,284
2020-06-11,286
2020-06-12,287
2020-06-13,288
2020-06-14,289
2020-06-15,291
2020-06-16,293
2020-06-17,295
2020-06-18,298
2020-06-19,300
2020-06-20,301
2020-06-21,302
2020-06-22,303
2020-06-23,305
2020-06-24,307
2020-06-25,308
2020-06-26,310
2020-06-27,311
2020-06-28,313
2020-06-29,314
2020-06-30,315
2020-07-01,316
2020-07-02,317
2020-07-03,318
2020-07-04,321
2020-07-05,323
2020-07-06,324
2020-07-07,326
2020-07-08,327
2020-07-09,328
2020-07-10,330
2020-07-11,331
2020-07-12,333
2020-07-13,334
2020-07-14,335
2020-07-15,335
2020-07-16,335
2020-07-17,337
2020-07-18,338
2020-07-19,339
2020-07-20,340
2020-07-21,341
2020-07-22,342
2020-07-23,342
2020-07-24,343
2020-07-25,343
2020-07-26,344
2020-07-27,345
2020-07-28,347
2020-07-29,347
2020-07-30,349
2020-07-31,351
2020-08-01,351
2020-08-02,351
2020-08-03,351
2020-08-04,351
2020-08-05,353
2020-08-06,354
2020-08-07,356
2020-08-08,356
2020-08-09,357
2020-08-10,357
2020-08-11,358
2020-08-12,358
2020-08-13,358
2020-08-14,359
2020-08-15,361
2020-08-16,364
2020-08-17,364
2020-08-18,366
2020-08-19,367
2020-08-20,369
2020-08-21,370
2020-08-22,372
2020-08-23,375
2020-08-24,376
2020-08-25,377
2020-08-26,378
2020-08-27,378
2020-08-28,379
2020-08-29,379
2020-08-30,382
2020-08-31,384
2020-09-01,384
2020-09-02,387
2020-09-03,387
2020-09-04,387
2020-09-05,388
2020-09-06,388
2020-09-07,390
2020-09-08,391
2020-09-09,393
2020-09-10,398
2020-09-11,398
2020-09-12,399
2020-09-13,399
2020-09-14,399
2020-09-15,401
2020-09-16,402
2020-09-17,402
2020-09-18,403
2020-09-19,404
2020-09-20,404
2020-09-21,405
2020-09-22,405
2020-09-23,406
2020-09-24,407
2020-09-25,409
2020-09-26,411
2020-09-27,412
2020-09-28,413
2020-09-29,416
2020-09-30,419
2020-10-01,421
2020-10-02,424
2020-10-03,426
2020-10-04,426
2020-10-05,429
2020-10-06,435
2020-10-07,436
2020-10-08,438
2020-10-09,442
2020-10-10,443
2020-10-11,445
2020-10-12,446
