date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,1
2020-04-02,2
2020-04-03,2
2020-04-04,3
2020-04-05,3
2020-04-06,4
2020-04-07,4
2020-04-08,5
2020-04-09,6
2020-04-10,6
2020-04-11,6
2020-04-12,6
2020-04-13,6
2020-04-14,6
2020-04-15,6
2020-04-16,6
2020-04-17,7
2020-04-18,7
2020-04-19,7
2020-04-20,7
2020-04-21,7
2020-04-22,7
2020-04-23,8
2020-04-24,8
2020-04-25,8
2020-04-26,8
2020-04-27,8
2020-04-28,8
2020-04-29,9
2020-04-30,10
2020-05-01,10
2020-05-02,11
2020-05-03,11
2020-05-04,13
2020-05-05,14
2020-05-06,15
2020-05-07,15
2020-05-08,16
2020-05-09,17
2020-05-10,17
2020-05-11,18
2020-05-12,20
2020-05-13,20
2020-05-14,23
2020-05-15,25
2020-05-16,26
2020-05-17,30
2020-05-18,30
2020-05-19,30
2020-05-20,31
2020-05-21,33
2020-05-22,33
2020-05-23,33
2020-05-24,35
2020-05-25,35
2020-05-26,36
2020-05-27,39
2020-05-28,39
2020-05-29,42
2020-05-30,46
2020-05-31,46
2020-06-01,46
2020-06-02,49
2020-06-03,51
2020-06-04,52
2020-06-05,53
2020-06-06,53
2020-06-07,53
2020-06-08,56
2020-06-09,60
2020-06-10,64
2020-06-11,68
2020-06-12,68
2020-06-13,72
2020-06-14,74
2020-06-15,74
2020-06-16,76
2020-06-17,79
2020-06-18,82
2020-06-19,86
2020-06-20,93
2020-06-21,98
2020-06-22,107
2020-06-23,113
2020-06-24,119
2020-06-25,126
2020-06-26,133
2020-06-27,143
2020-06-28,152
2020-06-29,164
2020-06-30,174
2020-07-01,182
2020-07-02,191
2020-07-03,202
2020-07-04,210
2020-07-05,217
2020-07-06,223
2020-07-07,229
2020-07-08,235
2020-07-09,243
2020-07-10,249
2020-07-11,254
2020-07-12,260
2020-07-13,267
2020-07-14,278
2020-07-15,286
2020-07-16,298
2020-07-17,309
2020-07-18,324
2020-07-19,335
2020-07-20,344
2020-07-21,352
2020-07-22,363
2020-07-23,372
2020-07-24,379
2020-07-25,390
2020-07-26,400
2020-07-27,408
2020-07-28,417
2020-07-29,430
2020-07-30,439
2020-07-31,448
2020-08-01,459
2020-08-02,467
2020-08-03,477
2020-08-04,486
2020-08-05,498
2020-08-06,513
2020-08-07,520
2020-08-08,536
