date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,4
2020-03-09,4
2020-03-10,4
2020-03-11,7
2020-03-12,7
2020-03-13,23
2020-03-14,41
2020-03-15,51
2020-03-16,52
2020-03-17,67
2020-03-18,92
2020-03-19,94
2020-03-20,127
2020-03-21,163
2020-03-22,187
2020-03-23,201
2020-03-24,218
2020-03-25,242
2020-03-26,264
2020-03-27,293
2020-03-28,331
2020-03-29,346
2020-03-30,359
2020-03-31,399
2020-04-01,422
2020-04-02,457
2020-04-03,485
2020-04-04,503
2020-04-05,531
2020-04-06,549
2020-04-07,577
2020-04-08,593
2020-04-09,618
2020-04-10,635
2020-04-11,661
2020-04-12,675
2020-04-13,685
2020-04-14,713
2020-04-15,747
2020-04-16,800
2020-04-17,846
2020-04-18,878
2020-04-19,894
2020-04-20,929
2020-04-21,975
2020-04-22,1024
2020-04-23,1097
2020-04-24,1234
2020-04-25,1247
2020-04-26,1300
2020-04-27,1363
2020-04-28,1399
2020-04-29,1447
2020-04-30,1506
2020-05-01,1555
2020-05-02,1594
2020-05-03,1618
2020-05-04,1652
2020-05-05,1704
2020-05-06,1778
2020-05-07,1829
2020-05-08,1872
2020-05-09,1921
2020-05-10,1965
2020-05-11,1990
2020-05-12,2023
2020-05-13,2069
2020-05-14,2100
2020-05-15,2138
2020-05-16,2175
2020-05-17,2211
2020-05-18,2235
2020-05-19,2259
2020-05-20,2292
2020-05-21,2331
2020-05-22,2372
2020-05-23,2408
2020-05-24,2427
2020-05-25,2433
2020-05-26,2443
2020-05-27,2460
2020-05-28,2477
2020-05-29,2485
2020-05-30,2499
2020-05-31,2513
2020-06-01,2519
2020-06-02,2538
2020-06-03,2560
2020-06-04,2585
2020-06-05,2627
2020-06-06,2711
2020-06-07,2727
2020-06-08,2810
2020-06-09,2889
2020-06-10,2993
2020-06-11,3086
2020-06-12,3191
2020-06-13,3266
2020-06-14,3290
2020-06-15,3341
2020-06-16,3453
2020-06-17,3542
2020-06-18,3674
2020-06-19,3755
2020-06-20,3872
2020-06-21,3905
2020-06-22,3984
2020-06-23,4114
2020-06-24,4242
2020-06-25,4408
2020-06-26,4513
2020-06-27,4625
2020-06-28,4691
2020-06-29,4831
2020-06-30,4989
2020-07-01,5154
2020-07-02,5315
2020-07-03,5497
2020-07-04,5677
2020-07-05,5740
2020-07-06,5914
2020-07-07,6102
2020-07-08,6342
2020-07-09,6672
2020-07-10,6964
2020-07-11,7175
2020-07-12,7252
2020-07-13,7411
2020-07-14,7645
2020-07-15,7877
2020-07-16,8144
2020-07-17,8442
2020-07-18,8638
2020-07-19,8733
2020-07-20,8929
2020-07-21,9254
2020-07-22,9584
2020-07-23,9853
2020-07-24,10123
2020-07-25,10312
2020-07-26,10427
2020-07-27,10621
2020-07-28,10871
2020-07-29,11155
2020-07-30,11420
2020-07-31,11690
2020-08-01,11836
2020-08-02,11955
2020-08-03,12159
2020-08-04,12414
2020-08-05,12717
2020-08-06,13014
2020-08-07,13209
2020-08-08,13343
