date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,3
2020-03-19,6
2020-03-20,11
2020-03-21,15
2020-03-22,25
2020-03-23,34
2020-03-24,46
2020-03-25,59
2020-03-26,77
2020-03-27,92
2020-03-28,111
2020-03-29,136
2020-03-30,159
2020-03-31,201
2020-04-01,240
2020-04-02,324
2020-04-03,359
2020-04-04,445
2020-04-05,486
2020-04-06,564
2020-04-07,686
2020-04-08,819
2020-04-09,950
2020-04-10,1057
2020-04-11,1124
2020-04-12,1223
2020-04-13,1328
2020-04-14,1532
2020-04-15,1736
2020-04-16,1924
2020-04-17,2141
2020-04-18,2354
2020-04-19,2462
2020-04-20,2587
2020-04-21,2741
2020-04-22,2906
2020-04-23,3331
2020-04-24,3704
2020-04-25,4057
2020-04-26,4286
2020-04-27,4603
2020-04-28,5083
2020-04-29,5513
2020-04-30,6006
2020-05-01,6412
2020-05-02,6761
2020-05-03,7051
2020-05-04,7367
2020-05-05,7938
2020-05-06,8588
2020-05-07,9190
2020-05-08,10017
2020-05-09,10656
2020-05-10,11123
2020-05-11,11653
2020-05-12,12461
2020-05-13,13240
2020-05-14,13999
2020-05-15,14962
2020-05-16,15662
2020-05-17,16118
2020-05-18,16853
2020-05-19,17983
2020-05-20,18859
2020-05-21,20047
2020-05-22,21048
2020-05-23,22013
2020-05-24,22666
2020-05-25,23473
2020-05-26,24512
2020-05-27,25598
2020-05-28,26754
2020-05-29,27878
2020-05-30,28834
2020-05-31,29314
2020-06-01,29937
2020-06-02,31199
2020-06-03,32548
2020-06-04,34021
2020-06-05,35026
2020-06-06,35930
2020-06-07,36455
2020-06-08,37134
2020-06-09,38406
2020-06-10,39680
2020-06-11,40919
2020-06-12,41828
2020-06-13,42720
2020-06-14,43332
2020-06-15,43959
2020-06-16,45241
2020-06-17,46510
2020-06-18,47748
2020-06-19,48954
2020-06-20,49976
2020-06-21,50591
2020-06-22,51271
2020-06-23,52645
2020-06-24,53830
2020-06-25,54971
2020-06-26,55961
2020-06-27,57070
2020-06-28,57622
2020-06-29,58314
2020-06-30,59594
2020-07-01,60632
2020-07-02,61884
2020-07-03,63174
2020-07-04,64265
2020-07-05,64867
2020-07-06,65487
2020-07-07,66741
2020-07-08,67964
2020-07-09,69184
2020-07-10,70398
2020-07-11,71469
2020-07-12,72100
2020-07-13,72833
2020-07-14,74133
2020-07-15,75366
2020-07-16,76688
2020-07-17,77851
2020-07-18,78772
2020-07-19,79488
2020-07-20,80120
2020-07-21,81487
2020-07-22,82771
2020-07-23,84082
2020-07-24,85238
2020-07-25,86449
2020-07-26,87004
2020-07-27,87618
2020-07-28,88539
2020-07-29,90134
2020-07-30,91263
2020-07-31,92475
2020-08-01,93563
2020-08-02,94104
2020-08-03,94665
2020-08-04,95819
2020-08-05,97256
2020-08-06,98493
2020-08-07,99572
2020-08-08,100477
2020-08-09,101049
2020-08-10,101752
2020-08-11,103026
2020-08-12,104201
2020-08-13,105463
2020-08-14,106523
2020-08-15,107232
2020-08-16,107852
2020-08-17,108536
2020-08-18,109888
2020-08-19,111100
2020-08-20,112304
2020-08-21,113358
2020-08-22,114250
2020-08-23,114744
2020-08-24,115309
2020-08-25,116580
2020-08-26,117665
2020-08-27,118649
2020-08-28,119504
2020-08-29,120262
2020-08-30,120828
2020-08-31,121381
2020-09-01,122596
2020-09-02,123780
2020-09-03,124614
2020-09-04,125502
2020-09-05,126203
2020-09-06,126650
2020-09-07,126960
2020-09-08,127464
2020-09-09,128539
2020-09-10,129522
2020-09-11,130396
2020-09-12,131210
2020-09-13,131625
2020-09-14,132006
2020-09-15,133119
2020-09-16,134106
2020-09-17,134935
2020-09-18,135793
2020-09-19,136532
2020-09-20,136895
2020-09-21,137272
2020-09-22,138105
2020-09-23,138105
2020-09-24,139808
2020-09-25,140537
2020-09-26,141406
2020-09-27,141741
2020-09-28,142058
2020-09-29,142921
2020-09-30,143952
2020-10-01,144680
2020-10-02,144680
2020-10-03,145987
2020-10-04,146352
2020-10-05,146675
2020-10-06,147494
2020-10-07,148228
2020-10-08,148957
2020-10-09,149639
2020-10-10,150198
2020-10-11,150488
2020-10-12,150689
