date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,15
2020-05-01,15
2020-05-02,76
2020-05-03,128
2020-05-04,230
2020-05-05,293
2020-05-06,379
2020-05-07,461
2020-05-08,522
2020-05-09,612
2020-05-10,612
2020-05-11,661
2020-05-12,729
2020-05-13,801
2020-05-14,907
2020-05-15,1118
2020-05-16,1322
2020-05-17,1524
2020-05-18,1729
2020-05-19,1936
2020-05-20,2140
2020-05-21,2350
2020-05-22,2551
2020-05-23,2738
2020-05-24,2929
2020-05-25,3100
2020-05-26,3266
2020-05-27,3424
2020-05-28,3563
2020-05-29,3686
2020-05-30,3807
2020-05-31,3930
2020-06-01,4013
2020-06-02,4100
2020-06-03,4191
2020-06-04,4289
2020-06-05,4370
2020-06-06,4453
2020-06-07,4529
2020-06-08,4609
2020-06-09,4690
2020-06-10,4763
2020-06-11,4834
2020-06-12,4902
2020-06-13,4971
2020-06-14,5035
2020-06-15,5097
2020-06-16,5160
2020-06-17,5221
2020-06-18,5279
2020-06-19,5338
2020-06-20,5399
2020-06-21,5457
2020-06-22,5513
2020-06-23,5567
2020-06-24,5630
2020-06-25,5691
2020-06-26,5747
2020-06-27,5799
2020-06-28,5849
2020-06-29,5900
2020-06-30,5900
2020-07-01,6005
2020-07-02,6058
2020-07-03,6058
2020-07-04,6159
2020-07-05,6213
2020-07-06,6262
2020-07-07,6315
2020-07-08,6364
2020-07-09,6410
2020-07-10,6457
2020-07-11,6506
2020-07-12,6552
2020-07-13,6596
2020-07-14,6643
2020-07-15,6695
2020-07-16,6741
2020-07-17,6786
2020-07-18,6834
2020-07-19,6878
2020-07-20,6921
2020-07-21,6967
2020-07-22,7015
2020-07-23,7060
2020-07-24,7104
2020-07-25,7150
2020-07-26,7192
2020-07-27,7235
2020-07-28,7276
2020-07-29,7320
2020-07-30,7366
2020-07-31,7409
2020-08-01,7451
2020-08-02,7495
2020-08-03,7538
2020-08-04,7583
2020-08-05,7625
2020-08-06,7665
2020-08-07,7706
2020-08-08,7706
2020-08-09,7745
2020-08-10,7827
