date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,3
2020-03-15,6
2020-03-16,6
2020-03-17,7
2020-03-18,7
2020-03-19,11
2020-03-20,16
2020-03-21,19
2020-03-22,23
2020-03-23,27
2020-03-24,53
2020-03-25,93
2020-03-26,132
2020-03-27,137
2020-03-28,141
2020-03-29,152
2020-03-30,152
2020-03-31,161
2020-04-01,195
2020-04-02,204
2020-04-03,205
2020-04-04,205
2020-04-05,214
2020-04-06,214
2020-04-07,287
2020-04-08,313
2020-04-09,378
2020-04-10,378
2020-04-11,408
2020-04-12,566
2020-04-13,566
2020-04-14,636
2020-04-15,636
2020-04-16,641
2020-04-17,641
2020-04-18,834
2020-04-19,1042
2020-04-20,1042
2020-04-21,1042
2020-04-22,1154
2020-04-23,1154
2020-04-24,1279
2020-04-25,1279
2020-04-26,1550
2020-04-27,1550
2020-04-28,1671
2020-04-29,1671
2020-04-30,2074
2020-05-01,2074
2020-05-02,2169
2020-05-03,2169
2020-05-04,2719
2020-05-05,2719
2020-05-06,3091
2020-05-07,3091
2020-05-08,4012
2020-05-09,4263
2020-05-10,4263
2020-05-11,4700
2020-05-12,5127
2020-05-13,5408
2020-05-14,5530
2020-05-15,5638
2020-05-16,5735
2020-05-17,5735
2020-05-18,5735
2020-05-19,6096
2020-05-20,6269
2020-05-21,6269
2020-05-22,6486
2020-05-23,6617
2020-05-24,6683
2020-05-25,6808
2020-05-26,7117
2020-05-27,7303
2020-05-28,7303
2020-05-29,7616
2020-05-30,7768
2020-05-31,8070
2020-06-01,8070
2020-06-02,8297
2020-06-03,8548
2020-06-04,8885
2020-06-05,9168
2020-06-06,9462
2020-06-07,9638
2020-06-08,9910
2020-06-09,10201
2020-06-10,10201
2020-06-11,10358
2020-06-12,10856
2020-06-13,11118
2020-06-14,11964
2020-06-15,11964
2020-06-16,12193
2020-06-17,12590
2020-06-18,12929
2020-06-19,13203
2020-06-20,13717
2020-06-21,14154
2020-06-22,14154
2020-06-23,14568
2020-06-24,15013
2020-06-25,15473
2020-06-26,15834
2020-06-27,16431
2020-06-28,16742
2020-06-29,17351
2020-06-30,17741
2020-07-01,18134
2020-07-02,18134
2020-07-03,19388
2020-07-04,19388
2020-07-05,20085
2020-07-06,21077
2020-07-07,21968
2020-07-08,22822
2020-07-09,23463
2020-07-10,23834
2020-07-11,24248
2020-07-12,24518
2020-07-13,24988
2020-07-14,24988
2020-07-15,25430
2020-07-16,26125
2020-07-17,26572
2020-07-18,27060
2020-07-19,27667
2020-07-20,28430
2020-07-21,28989
2020-07-22,29672
2020-07-23,29672
2020-07-24,31057
2020-07-25,31851
2020-07-26,32969
2020-07-27,33624
2020-07-28,34406
2020-07-29,35142
2020-07-30,35142
2020-07-31,35501
2020-08-01,37014
2020-08-02,37014
2020-08-03,37812
2020-08-04,37812
2020-08-05,39075
2020-08-06,39642
2020-08-07,40097
2020-08-08,40533
2020-08-09,41003
2020-08-10,41212
2020-08-11,41404
2020-08-12,41572
2020-08-13,41725
2020-08-14,41847
2020-08-15,42210
2020-08-16,42532
2020-08-17,42653
2020-08-18,42993
2020-08-19,43094
2020-08-20,43260
2020-08-21,43325
2020-08-22,43325
2020-08-23,43505
2020-08-24,43622
2020-08-25,43717
2020-08-26,43769
2020-08-27,43841
2020-08-28,43949
2020-08-29,44118
2020-08-30,44205
2020-08-31,44298
2020-09-01,44460
2020-09-02,44658
2020-09-03,44713
2020-09-04,44777
2020-09-05,44777
2020-09-06,44777
2020-09-07,44869
2020-09-08,45012
2020-09-09,45313
2020-09-10,45313
2020-09-11,45388
2020-09-12,45434
2020-09-13,45434
2020-09-14,45601
2020-09-15,45655
2020-09-16,45655
2020-09-17,45714
2020-09-18,45760
2020-09-19,45877
2020-09-20,46004
2020-09-21,46062
2020-09-22,46062
2020-09-23,46153
2020-09-24,46222
2020-09-25,46222
2020-09-26,46222
2020-09-27,46387
2020-09-28,46444
2020-09-29,46482
2020-09-30,46626
2020-10-01,46656
2020-10-02,46694
2020-10-03,46803
2020-10-04,46829
2020-10-05,46829
2020-10-06,46829
2020-10-07,46829
2020-10-08,46947
2020-10-09,46987
2020-10-10,47005
2020-10-11,47005
2020-10-12,47030
