date,confirmed
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,2
2020-01-26,2
2020-01-27,2
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,2
2020-02-01,6
2020-02-02,6
2020-02-03,8
2020-02-04,8
2020-02-05,8
2020-02-06,10
2020-02-07,10
2020-02-08,13
2020-02-09,13
2020-02-10,14
2020-02-11,15
2020-02-12,15
2020-02-13,16
2020-02-14,16
2020-02-15,16
2020-02-16,16
2020-02-17,16
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,16
2020-02-27,16
2020-02-28,16
2020-02-29,16
2020-03-01,16
2020-03-02,16
2020-03-03,16
2020-03-04,16
2020-03-05,16
2020-03-06,16
2020-03-07,18
2020-03-08,30
2020-03-09,30
2020-03-10,31
2020-03-11,38
2020-03-12,39
2020-03-13,47
2020-03-14,53
2020-03-15,56
2020-03-16,61
2020-03-17,66
2020-03-18,75
2020-03-19,85
2020-03-20,91
2020-03-21,94
2020-03-22,113
2020-03-23,123
2020-03-24,134
2020-03-25,141
2020-03-26,153
2020-03-27,163
2020-03-28,174
2020-03-29,188
2020-03-30,203
2020-03-31,212
2020-04-01,218
2020-04-02,233
2020-04-03,237
2020-04-04,240
2020-04-05,241
2020-04-06,245
2020-04-07,249
2020-04-08,251
