date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,7
2020-03-11,7
2020-03-12,7
2020-03-13,14
2020-03-14,14
2020-03-15,14
2020-03-16,18
2020-03-17,26
2020-03-18,35
2020-03-19,48
2020-03-20,67
2020-03-21,85
2020-03-22,115
2020-03-23,136
2020-03-24,148
2020-03-25,177
2020-03-26,201
2020-03-27,219
2020-03-28,241
2020-03-29,259
2020-03-30,285
2020-03-31,329
2020-04-01,354
2020-04-02,384
2020-04-03,430
2020-04-04,483
2020-04-05,555
2020-04-06,570
2020-04-07,599
2020-04-08,617
2020-04-09,663
2020-04-10,711
2020-04-11,760
2020-04-12,828
2020-04-13,854
2020-04-14,908
2020-04-15,974
2020-04-16,1081
2020-04-17,1117
2020-04-18,1170
2020-04-19,1207
2020-04-20,1225
2020-04-21,1231
2020-04-22,1259
2020-04-23,1300
2020-04-24,1326
2020-04-25,1367
2020-04-26,1386
2020-04-27,1399
2020-04-28,1421
2020-04-29,1442
2020-04-30,1465
2020-05-01,1494
2020-05-02,1506
2020-05-03,1511
2020-05-04,1518
2020-05-05,1526
2020-05-06,1539
2020-05-07,1572
2020-05-08,1586
2020-05-09,1622
2020-05-10,1642
2020-05-11,1664
2020-05-12,1674
2020-05-13,1694
2020-05-14,1723
2020-05-15,1740
2020-05-16,1762
2020-05-17,1792
2020-05-18,1817
2020-05-19,1839
2020-05-20,1858
2020-05-21,1898
2020-05-22,1921
2020-05-23,1941
2020-05-24,1978
2020-05-25,1999
2020-05-26,2014
2020-05-27,2039
2020-05-28,2077
2020-05-29,2129
2020-05-30,2164
2020-05-31,2226
2020-06-01,2315
2020-06-02,2391
2020-06-03,2492
2020-06-04,2611
2020-06-05,2790
2020-06-06,2915
2020-06-07,3025
2020-06-08,3152
2020-06-09,3239
2020-06-10,3364
2020-06-11,3538
2020-06-12,3701
2020-06-13,3895
2020-06-14,4057
2020-06-15,4157
2020-06-16,4299
2020-06-17,4482
2020-06-18,4664
2020-06-19,4820
2020-06-20,5005
2020-06-21,5106
2020-06-22,5196
2020-06-23,5311
2020-06-24,5445
2020-06-25,5595
2020-06-26,5758
2020-06-27,5906
2020-06-28,6080
2020-06-29,6209
2020-06-30,6334
2020-07-01,6454
2020-07-02,6625
2020-07-03,6787
2020-07-04,6932
2020-07-05,7046
2020-07-06,7124
2020-07-07,7244
2020-07-08,7406
2020-07-09,7572
2020-07-10,7777
2020-07-11,7975
2020-07-12,8111
2020-07-13,8197
2020-07-14,8332
2020-07-15,8530
2020-07-16,8623
2020-07-17,8786
2020-07-18,9026
2020-07-19,9153
2020-07-20,9249
2020-07-21,9412
2020-07-22,9547
2020-07-23,9669
2020-07-24,9797
2020-07-25,9934
2020-07-26,10086
2020-07-27,10213
2020-07-28,10315
2020-07-29,10503
2020-07-30,10617
2020-07-31,10754
2020-08-01,10891
2020-08-02,11054
2020-08-03,11128
2020-08-04,11202
2020-08-05,11289
2020-08-06,11399
2020-08-07,11554
2020-08-08,11754
2020-08-09,11839
