date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,1
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,3
2020-03-23,3
2020-03-24,6
2020-03-25,10
2020-03-26,10
2020-03-27,20
2020-03-28,28
2020-03-29,39
2020-03-30,42
2020-03-31,51
2020-04-01,57
2020-04-02,60
2020-04-03,68
2020-04-04,68
2020-04-05,82
2020-04-06,86
2020-04-07,98
2020-04-08,108
2020-04-09,118
2020-04-10,126
2020-04-11,135
2020-04-12,173
2020-04-13,177
2020-04-14,183
2020-04-15,189
2020-04-16,196
2020-04-17,200
2020-04-18,217
2020-04-19,226
2020-04-20,235
2020-04-21,245
2020-04-22,260
2020-04-23,265
2020-04-24,267
2020-04-25,273
2020-04-26,278
2020-04-27,282
2020-04-28,286
2020-04-29,293
2020-04-30,301
2020-05-01,313
2020-05-02,326
2020-05-03,333
2020-05-04,346
2020-05-05,354
2020-05-06,362
2020-05-07,373
2020-05-08,380
2020-05-09,385
2020-05-10,388
2020-05-11,393
2020-05-12,402
2020-05-13,409
2020-05-14,422
2020-05-15,424
2020-05-16,428
2020-05-17,428
2020-05-18,434
2020-05-19,441
2020-05-20,446
2020-05-21,448
2020-05-22,456
2020-05-23,458
2020-05-24,458
2020-05-25,460
2020-05-26,468
2020-05-27,474
2020-05-28,485
2020-05-29,488
2020-05-30,498
2020-05-31,502
2020-06-01,502
2020-06-02,515
2020-06-03,516
2020-06-04,520
2020-06-05,525
2020-06-06,536
2020-06-07,538
2020-06-08,539
2020-06-09,544
2020-06-10,550
2020-06-11,561
2020-06-12,568
2020-06-13,577
2020-06-14,592
2020-06-15,605
2020-06-16,615
2020-06-17,633
2020-06-18,635
2020-06-19,647
2020-06-20,655
2020-06-21,662
2020-06-22,669
2020-06-23,675
2020-06-24,691
2020-06-25,698
2020-06-26,712
2020-06-27,718
2020-06-28,726
2020-06-29,733
2020-06-30,747
2020-07-01,754
2020-07-02,765
2020-07-03,775
2020-07-04,786
2020-07-05,794
2020-07-06,804
2020-07-07,821
2020-07-08,829
2020-07-09,842
2020-07-10,864
2020-07-11,880
2020-07-12,897
2020-07-13,903
2020-07-14,910
2020-07-15,929
2020-07-16,941
2020-07-17,942
2020-07-18,971
2020-07-19,981
2020-07-20,993
2020-07-21,999
2020-07-22,1005
2020-07-23,1006
2020-07-24,1036
2020-07-25,1055
2020-07-26,1063
2020-07-27,1083
2020-07-28,1101
2020-07-29,1123
2020-07-30,1146
2020-07-31,1160
2020-08-01,1170
2020-08-02,1178
2020-08-03,1183
2020-08-04,1213
2020-08-05,1222
2020-08-06,1246
2020-08-07,1259
2020-08-08,1289
2020-08-09,1309
2020-08-10,1328
