date,current
2020-01-22,0
2020-01-23,0
2020-01-24,2
2020-01-25,3
2020-01-26,3
2020-01-27,3
2020-01-28,4
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,6
2020-02-02,6
2020-02-03,6
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,11
2020-02-09,11
2020-02-10,11
2020-02-11,11
2020-02-12,9
2020-02-13,9
2020-02-14,9
2020-02-15,7
2020-02-16,7
2020-02-17,7
2020-02-18,7
2020-02-19,7
2020-02-20,7
2020-02-21,7
2020-02-22,7
2020-02-23,7
2020-02-24,7
2020-02-25,2
2020-02-26,5
2020-02-27,25
2020-02-28,44
2020-02-29,86
2020-03-01,116
2020-03-02,176
2020-03-03,188
2020-03-04,272
2020-03-05,362
2020-03-06,635
2020-03-07,934
2020-03-08,1103
2020-03-09,1186
2020-03-10,1747
2020-03-11,2230
2020-03-12,2230
2020-03-13,3587
2020-03-14,4384
2020-03-15,4420
2020-03-16,6508
2020-03-17,7539
2020-03-18,8945
2020-03-19,10692
2020-03-20,12264
2020-03-21,13857
