date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,1
2020-03-22,2
2020-03-23,3
2020-03-24,3
2020-03-25,4
2020-03-26,1
2020-03-27,1
2020-03-28,10
2020-03-29,13
2020-03-30,16
2020-03-31,16
2020-04-01,28
2020-04-02,31
2020-04-03,39
2020-04-04,44
2020-04-05,51
2020-04-06,58
2020-04-07,61
2020-04-08,65
2020-04-09,66
2020-04-10,71
2020-04-11,74
2020-04-12,80
2020-04-13,85
2020-04-14,94
2020-04-15,99
2020-04-16,103
2020-04-17,110
2020-04-18,117
2020-04-19,122
2020-04-20,125
2020-04-21,130
2020-04-22,134
2020-04-23,139
2020-04-24,144
2020-04-25,151
2020-04-26,156
2020-04-27,162
2020-04-28,168
2020-04-29,173
2020-04-30,179
2020-05-01,179
2020-05-02,189
2020-05-03,193
2020-05-04,197
2020-05-05,200
2020-05-06,203
2020-05-07,206
2020-05-08,209
2020-05-09,215
2020-05-10,215
2020-05-11,218
2020-05-12,220
2020-05-13,222
2020-05-14,224
2020-05-15,225
2020-05-16,228
2020-05-17,230
2020-05-18,231
2020-05-19,234
2020-05-20,235
2020-05-21,237
2020-05-22,237
2020-05-23,238
2020-05-24,238
2020-05-25,239
2020-05-26,239
2020-05-27,240
2020-05-28,241
2020-05-29,242
2020-05-30,242
2020-05-31,243
2020-06-01,244
2020-06-02,245
2020-06-03,245
2020-06-04,246
2020-06-05,247
2020-06-06,248
2020-06-07,249
2020-06-08,250
2020-06-09,250
2020-06-10,251
2020-06-11,252
2020-06-12,252
2020-06-13,253
2020-06-14,254
2020-06-15,255
2020-06-16,256
2020-06-17,257
2020-06-18,258
2020-06-19,259
2020-06-20,260
2020-06-21,261
2020-06-22,262
2020-06-23,263
2020-06-24,263
2020-06-25,264
2020-06-26,265
2020-06-27,267
2020-06-28,270
2020-06-29,274
2020-06-30,277
2020-07-01,281
2020-07-02,287
2020-07-03,298
2020-07-04,306
2020-07-05,311
2020-07-06,317
2020-07-07,330
2020-07-08,341
2020-07-09,352
2020-07-10,370
2020-07-11,382
2020-07-12,393
2020-07-13,405
2020-07-14,418
2020-07-15,429
2020-07-16,442
2020-07-17,452
2020-07-18,461
2020-07-19,472
2020-07-20,482
2020-07-21,491
2020-07-22,499
2020-07-23,508
2020-07-24,518
2020-07-25,518
2020-07-26,534
2020-07-27,543
2020-07-28,551
2020-07-29,558
2020-07-30,565
2020-07-31,573
2020-08-01,582
2020-08-02,590
2020-08-03,598
2020-08-04,605
2020-08-05,614
2020-08-06,621
2020-08-07,626
2020-08-08,632
