date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,3
2020-03-21,4
2020-03-22,5
2020-03-23,5
2020-03-24,6
2020-03-25,6
2020-03-26,7
2020-03-27,7
2020-03-28,7
2020-03-29,7
2020-03-30,7
2020-03-31,16
2020-04-01,18
2020-04-02,21
2020-04-03,21
2020-04-04,21
2020-04-05,21
2020-04-06,24
2020-04-07,30
2020-04-08,34
2020-04-09,44
2020-04-10,44
2020-04-11,46
2020-04-12,49
2020-04-13,57
2020-04-14,57
2020-04-15,80
2020-04-16,80
2020-04-17,108
2020-04-18,108
2020-04-19,109
2020-04-20,120
2020-04-21,156
2020-04-22,166
2020-04-23,167
2020-04-24,172
2020-04-25,176
2020-04-26,176
2020-04-27,211
2020-04-28,238
2020-04-29,276
2020-04-30,276
2020-05-01,276
2020-05-02,335
2020-05-03,335
2020-05-04,367
2020-05-05,397
2020-05-06,397
2020-05-07,504
2020-05-08,620
2020-05-09,661
2020-05-10,661
2020-05-11,802
2020-05-12,863
2020-05-13,1004
2020-05-14,1104
2020-05-15,1209
2020-05-16,1320
2020-05-17,1320
2020-05-18,1432
2020-05-19,1502
2020-05-20,1567
2020-05-21,1567
2020-05-22,1728
2020-05-23,1934
2020-05-24,1934
2020-05-25,2135
2020-05-26,2238
2020-05-27,2319
2020-05-28,2431
2020-05-29,2613
2020-05-30,2655
2020-05-31,2655
2020-06-01,2655
2020-06-02,2803
2020-06-03,2902
2020-06-04,2955
2020-06-05,3101
2020-06-06,3101
2020-06-07,3101
2020-06-08,3101
2020-06-09,3247
2020-06-10,3375
2020-06-11,3463
2020-06-12,3463
2020-06-13,3463
2020-06-14,3463
2020-06-15,4033
2020-06-16,4114
2020-06-17,4229
2020-06-18,4340
2020-06-19,4428
2020-06-20,4428
2020-06-21,4428
2020-06-22,4739
2020-06-23,4849
2020-06-24,4956
2020-06-25,5087
2020-06-26,5209
2020-06-27,5209
2020-06-28,5209
2020-06-29,5394
2020-06-30,5394
2020-07-01,5513
2020-07-02,5513
2020-07-03,5620
2020-07-04,5620
2020-07-05,5620
2020-07-06,5743
2020-07-07,5743
2020-07-08,5871
2020-07-09,5871
2020-07-10,5942
2020-07-11,5942
2020-07-12,5942
2020-07-13,6026
2020-07-14,6026
2020-07-15,6121
2020-07-16,6121
2020-07-17,6315
2020-07-18,6315
2020-07-19,6315
2020-07-20,6433
2020-07-21,6433
2020-07-22,6588
2020-07-23,6588
2020-07-24,6984
2020-07-25,6984
2020-07-26,6984
2020-07-27,7189
2020-07-28,7189
2020-07-29,7352
2020-07-30,7352
2020-07-31,7352
2020-08-01,7531
2020-08-02,7531
2020-08-03,7646
2020-08-04,7646
2020-08-05,7787
2020-08-06,7787
2020-08-07,7923
2020-08-08,7923
2020-08-09,7923
2020-08-10,8006
2020-08-11,8006
2020-08-12,8077
2020-08-13,8077
2020-08-14,8225
2020-08-15,8225
2020-08-16,8225
2020-08-17,8270
2020-08-18,8270
2020-08-19,8319
2020-08-20,8319
2020-08-21,8388
2020-08-22,8388
2020-08-23,8388
2020-08-24,8409
2020-08-25,8409
2020-08-26,8468
2020-08-27,8468
2020-08-28,8505
2020-08-29,8505
2020-08-30,8505
2020-08-31,8533
2020-09-01,8533
2020-09-02,8538
2020-09-03,8538
2020-09-04,8601
2020-09-05,8601
2020-09-06,8601
2020-09-07,8608
2020-09-08,8608
2020-09-09,8621
2020-09-10,8621
2020-09-11,8643
2020-09-12,8643
2020-09-13,8643
2020-09-14,8654
2020-09-15,8654
2020-09-16,8678
2020-09-17,8678
2020-09-18,8696
2020-09-19,8696
2020-09-20,8696
2020-09-21,8704
2020-09-22,8704
2020-09-23,8716
2020-09-24,8716
2020-09-25,8728
2020-09-26,8728
2020-09-27,8728
2020-09-28,8728
2020-09-29,8752
2020-09-30,8766
2020-10-01,8766
2020-10-02,8797
2020-10-03,8797
2020-10-04,8797
2020-10-05,8808
2020-10-06,8808
2020-10-07,8815
2020-10-08,8815
2020-10-09,8835
2020-10-10,8835
2020-10-11,8835
2020-10-12,8860
