date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,3
2020-03-21,5
2020-03-22,5
2020-03-23,5
2020-03-24,7
2020-03-25,9
2020-03-26,9
2020-03-27,11
2020-03-28,16
2020-03-29,18
2020-03-30,24
2020-03-31,30
2020-04-01,38
2020-04-02,55
2020-04-03,61
2020-04-04,73
2020-04-05,83
2020-04-06,92
2020-04-07,107
2020-04-08,121
2020-04-09,138
2020-04-10,169
2020-04-11,181
2020-04-12,193
2020-04-13,216
2020-04-14,230
2020-04-15,254
2020-04-16,274
2020-04-17,300
2020-04-18,348
2020-04-19,400
2020-04-20,445
2020-04-21,484
2020-04-22,530
2020-04-23,572
2020-04-24,634
2020-04-25,700
2020-04-26,728
2020-04-27,782
2020-04-28,854
2020-04-29,943
2020-04-30,1051
2020-05-01,1124
2020-05-02,1200
2020-05-03,1286
2020-05-04,1344
2020-05-05,1444
2020-05-06,1533
2020-05-07,1627
2020-05-08,1714
2020-05-09,1814
2020-05-10,1889
2020-05-11,1961
2020-05-12,2057
2020-05-13,2169
2020-05-14,2267
2020-05-15,2392
2020-05-16,2523
2020-05-17,2648
2020-05-18,2789
2020-05-19,2914
2020-05-20,3024
2020-05-21,3148
2020-05-22,3244
2020-05-23,3373
2020-05-24,3456
2020-05-25,3629
2020-05-26,3788
2020-05-27,3983
2020-05-28,4099
2020-05-29,4230
2020-05-30,4371
2020-05-31,4506
2020-06-01,4634
2020-06-02,4767
2020-06-03,4894
2020-06-04,5031
2020-06-05,5162
2020-06-06,5301
2020-06-07,5465
2020-06-08,5571
2020-06-09,5738
2020-06-10,5903
2020-06-11,6088
2020-06-12,6088
2020-06-13,6308
2020-06-14,6688
2020-06-15,6860
2020-06-16,7056
2020-06-17,7257
2020-06-18,7461
2020-06-19,7660
2020-06-20,7861
2020-06-21,8045
2020-06-22,8223
2020-06-23,8404
2020-06-24,8586
2020-06-25,8761
2020-06-26,8939
2020-06-27,9135
2020-06-28,9317
2020-06-29,9504
2020-06-30,9677
2020-07-01,9860
2020-07-02,10045
2020-07-03,10226
2020-07-04,10412
2020-07-05,10589
2020-07-06,10772
2020-07-07,10952
2020-07-08,11133
2020-07-09,11314
2020-07-10,11500
2020-07-11,11682
2020-07-12,11870
2020-07-13,12054
2020-07-14,12229
2020-07-15,12417
2020-07-16,12615
2020-07-17,12799
2020-07-18,12998
2020-07-19,13187
2020-07-20,13384
2020-07-21,13579
2020-07-22,13767
2020-07-23,17654
2020-07-24,17843
2020-07-25,17843
2020-07-26,17843
2020-07-27,18418
2020-07-28,18612
2020-07-29,18816
2020-07-30,18816
2020-07-31,19021
2020-08-01,19021
2020-08-02,19614
2020-08-03,19811
2020-08-04,20007
2020-08-05,20228
2020-08-06,20424
2020-08-07,20649
2020-08-08,20649
