date,confirmed
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,2.0
2020-02-10,2.0
2020-02-11,2.0
2020-02-12,2.0
2020-02-13,2.0
2020-02-14,2.0
2020-02-15,2.0
2020-02-16,2.0
2020-02-17,2.0
2020-02-18,2.0
2020-02-19,2.0
2020-02-20,2.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,2.0
2020-02-24,2.0
2020-02-25,6.0
2020-02-26,13.0
2020-02-27,15.0
2020-02-28,32.0
2020-02-29,45.0
2020-03-01,84.0
2020-03-02,120.0
2020-03-03,165.0
2020-03-04,222.0
2020-03-05,259.0
2020-03-06,400.0
2020-03-07,500.0
2020-03-08,673.0
2020-03-09,1073.0
2020-03-10,1695.0
2020-03-11,2277.0
2020-03-12,2277.0
2020-03-13,5232.0
2020-03-14,6391.0
2020-03-15,7798.0
2020-03-16,9942.0
2020-03-17,11748.0
2020-03-18,13910.0
2020-03-19,17963.0
2020-03-20,20410.0
2020-03-21,25374.0
2020-03-22,28768.0
2020-03-23,28768.0
