date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,14
2020-03-21,14
2020-03-22,21
2020-03-23,27
2020-03-24,47
2020-03-25,52
2020-03-26,69
2020-03-27,82
2020-03-28,84
2020-03-29,85
2020-03-30,91
2020-03-31,109
2020-04-01,123
2020-04-02,144
2020-04-03,174
2020-04-04,201
2020-04-05,214
2020-04-06,233
2020-04-07,241
2020-04-08,248
2020-04-09,252
2020-04-10,255
2020-04-11,263
2020-04-12,272
2020-04-13,274
2020-04-14,283
2020-04-15,288
2020-04-16,303
2020-04-17,303
2020-04-18,307
2020-04-19,308
2020-04-20,312
2020-04-21,313
2020-04-22,315
2020-04-23,316
2020-04-24,319
2020-04-25,320
2020-04-26,321
2020-04-27,321
2020-04-28,321
2020-04-29,322
2020-04-30,322
2020-05-01,322
2020-05-02,322
2020-05-03,322
2020-05-04,323
2020-05-05,324
2020-05-06,324
2020-05-07,324
2020-05-08,324
2020-05-09,324
2020-05-10,324
2020-05-11,324
