date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,1
2020-03-22,2
2020-03-23,3
2020-03-24,3
2020-03-25,7
2020-03-26,10
2020-03-27,10
2020-03-28,10
2020-03-29,18
2020-03-30,27
2020-03-31,27
2020-04-01,74
2020-04-02,98
2020-04-03,120
2020-04-04,144
2020-04-05,184
2020-04-06,253
2020-04-07,278
2020-04-08,342
2020-04-09,410
2020-04-10,438
2020-04-11,491
2020-04-12,529
2020-04-13,529
2020-04-14,570
2020-04-15,584
2020-04-16,584
2020-04-17,627
2020-04-18,639
2020-04-19,648
2020-04-20,648
2020-04-21,657
2020-04-22,662
2020-04-23,671
2020-04-24,681
2020-04-25,684
2020-04-26,696
2020-04-27,701
2020-04-28,709
2020-04-29,713
2020-04-30,719
2020-05-01,728
2020-05-02,736
2020-05-03,750
2020-05-04,755
2020-05-05,763
2020-05-06,770
2020-05-07,781
2020-05-08,795
2020-05-09,815
2020-05-10,821
2020-05-11,832
2020-05-12,854
2020-05-13,860
2020-05-14,876
2020-05-15,885
2020-05-16,889
2020-05-17,904
2020-05-18,909
2020-05-19,914
2020-05-20,920
2020-05-21,924
2020-05-22,937
2020-05-23,943
2020-05-24,945
2020-05-25,951
2020-05-26,952
2020-05-27,952
2020-05-28,955
2020-05-29,955
2020-05-30,956
2020-05-31,958
2020-06-01,958
2020-06-02,960
2020-06-03,961
2020-06-04,963
2020-06-05,966
2020-06-06,970
2020-06-07,973
2020-06-08,973
2020-06-09,974
2020-06-10,974
2020-06-11,974
2020-06-12,978
2020-06-13,980
2020-06-14,980
2020-06-15,980
2020-06-16,1016
2020-06-17,1020
2020-06-18,1020
2020-06-19,1020
2020-06-20,1035
2020-06-21,1036
2020-06-22,1046
2020-06-23,1051
2020-06-24,1051
2020-06-25,1056
2020-06-26,1059
2020-06-27,1062
2020-06-28,1074
2020-06-29,1075
2020-06-30,1075
2020-07-01,1075
2020-07-02,1081
2020-07-03,1082
2020-07-04,1082
2020-07-05,1088
2020-07-06,1093
2020-07-07,1094
2020-07-08,1097
2020-07-09,1097
2020-07-10,1099
2020-07-11,1099
2020-07-12,1099
2020-07-13,1099
2020-07-14,1099
2020-07-15,1100
2020-07-16,1102
2020-07-17,1102
2020-07-18,1104
2020-07-19,1104
2020-07-20,1105
2020-07-21,1113
2020-07-22,1122
2020-07-23,1124
2020-07-24,1124
2020-07-25,1124
2020-07-26,1136
2020-07-27,1132
2020-07-28,1132
2020-07-29,1132
2020-07-30,1134
2020-07-31,1134
2020-08-01,1136
2020-08-02,1147
2020-08-03,1152
2020-08-04,1152
2020-08-05,1152
2020-08-06,1153
2020-08-07,1153
2020-08-08,1157
2020-08-09,1158
