date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,2.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-14,10.0
2020-03-15,11.0
2020-03-16,1.0
2020-03-17,9.0
2020-03-18,11.0
2020-03-19,14.0
2020-03-20,14.0
2020-03-21,19.0
2020-03-22,19.0
2020-03-23,28.0
2020-03-24,27.0
2020-03-25,55.0
2020-03-26,50.0
2020-03-27,70.0
2020-03-28,57.0
2020-03-29,77.0
2020-03-30,77.0
2020-03-31,61.0
2020-04-01,37.0
2020-04-02,54.0
2020-04-03,83.0
2020-04-04,128.0
2020-04-05,102.0
2020-04-06,99.0
2020-04-07,64.0
2020-04-08,91.0
2020-04-09,99.0
2020-04-10,74.0
2020-04-11,97.0
2020-04-12,116.0
2020-04-13,102.0
2020-04-14,125.0
2020-04-15,136.0
2020-04-16,259.0
2020-04-17,281.0
2020-04-18,121.0
2020-04-19,170.0
2020-04-20,191.0
2020-04-21,163.0
2020-04-22,237.0
2020-04-23,122.0
2020-04-24,190.0
2020-04-25,139.0
2020-04-26,168.0
2020-04-27,55.0
2020-04-28,132.0
2020-04-29,69.0
2020-04-30,102.0
2020-05-01,146.0
2020-05-02,160.0
2020-05-03,174.0
2020-05-04,150.0
2020-05-05,166.0
2020-05-06,189.0
2020-05-07,140.0
2020-05-08,163.0
2020-05-09,199.0
2020-05-10,153.0
2020-05-11,218.0
2020-05-12,137.0
2020-05-13,94.0
2020-05-14,95.0
2020-05-15,45.0
2020-05-16,89.0
2020-05-17,129.0
2020-05-18,82.0
2020-05-19,71.0
2020-05-20,110.0
2020-05-21,78.0
2020-05-22,121.0
2020-05-23,74.0
2020-05-24,27.0
2020-05-25,99.0
2020-05-26,45.0
2020-05-27,24.0
2020-05-28,42.0
2020-05-29,71.0
2020-05-30,66.0
2020-05-31,27.0
2020-06-01,26.0
2020-06-02,33.0
2020-06-03,56.0
2020-06-04,81.0
2020-06-05,68.0
2020-06-06,80.0
2020-06-07,73.0
2020-06-08,78.0
2020-06-09,135.0
2020-06-10,71.0
2020-06-11,29.0
2020-06-12,73.0
2020-06-13,82.0
2020-06-14,101.0
2020-06-15,92.0
2020-06-16,46.0
2020-06-17,66.0
2020-06-18,77.0
2020-06-19,539.0
2020-06-20,226.0
2020-06-21,138.0
2020-06-22,195.0
2020-06-23,172.0
2020-06-24,563.0
2020-06-25,431.0
2020-06-26,295.0
2020-06-27,244.0
2020-06-28,175.0
2020-06-29,238.0
2020-06-30,243.0
2020-07-01,103.0
2020-07-02,333.0
2020-07-03,319.0
2020-07-04,534.0
2020-07-05,393.0
2020-07-06,164.0
2020-07-07,228.0
2020-07-08,164.0
2020-07-09,308.0
2020-07-10,249.0
2020-07-11,214.0
2020-07-12,203.0
2020-07-13,191.0
2020-07-14,161.0
2020-07-15,165.0
2020-07-16,283.0
2020-07-17,181.0
2020-07-18,289.0
2020-07-19,221.0
2020-07-20,326.0
2020-07-21,180.0
2020-07-22,220.0
2020-07-23,302.0
2020-07-24,570.0
2020-07-25,811.0
2020-07-26,633.0
2020-07-27,609.0
2020-07-28,500.0
2020-07-29,826.0
2020-07-30,1046.0
2020-07-31,1063.0
2020-08-01,693.0
2020-08-02,522.0
2020-08-03,659.0
2020-08-04,1021.0
2020-08-05,1283.0
2020-08-06,1144.0
2020-08-07,1018.0
2020-08-08,1345.0
2020-08-09,1230.0
