date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,3.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,2.0
2020-03-16,3.0
2020-03-17,2.0
2020-03-18,4.0
2020-03-19,3.0
2020-03-20,3.0
2020-03-21,5.0
2020-03-22,2.0
2020-03-23,6.0
2020-03-24,6.0
2020-03-25,0.0
2020-03-26,5.0
2020-03-27,4.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,2.0
2020-04-01,3.0
2020-04-02,2.0
2020-04-03,5.0
2020-04-04,9.0
2020-04-05,18.0
2020-04-06,35.0
2020-04-07,41.0
2020-04-08,54.0
2020-04-09,112.0
2020-04-10,94.0
2020-04-11,58.0
2020-04-12,139.0
2020-04-13,182.0
2020-04-14,209.0
2020-04-15,219.0
2020-04-16,341.0
2020-04-17,266.0
2020-04-18,306.0
2020-04-19,312.0
2020-04-20,492.0
2020-04-21,434.0
2020-04-22,390.0
2020-04-23,414.0
2020-04-24,503.0
2020-04-25,309.0
2020-04-26,418.0
2020-04-27,497.0
2020-04-28,549.0
2020-04-29,641.0
2020-04-30,564.0
2020-05-01,571.0
2020-05-02,552.0
2020-05-03,665.0
2020-05-04,688.0
2020-05-05,786.0
2020-05-06,790.0
2020-05-07,706.0
2020-05-08,709.0
2020-05-09,636.0
2020-05-10,887.0
2020-05-11,1034.0
2020-05-12,969.0
2020-05-13,1162.0
2020-05-14,1041.0
2020-05-15,1202.0
2020-05-16,930.0
2020-05-17,1273.0
2020-05-18,1602.0
2020-05-19,1251.0
2020-05-20,1617.0
2020-05-21,1773.0
2020-05-22,1694.0
2020-05-23,1873.0
2020-05-24,1532.0
2020-05-25,1975.0
2020-05-26,1166.0
2020-05-27,1541.0
2020-05-28,2029.0
2020-05-29,2523.0
2020-05-30,1764.0
2020-05-31,2545.0
2020-06-01,2381.0
2020-06-02,2911.0
2020-06-03,2695.0
2020-06-04,2423.0
2020-06-05,2828.0
2020-06-06,2635.0
2020-06-07,2743.0
2020-06-08,2735.0
2020-06-09,3171.0
2020-06-10,3190.0
2020-06-11,3187.0
2020-06-12,3471.0
2020-06-13,2856.0
2020-06-14,3141.0
2020-06-15,3099.0
2020-06-16,3862.0
2020-06-17,4008.0
2020-06-18,3803.0
2020-06-19,3243.0
2020-06-20,3240.0
2020-06-21,3531.0
2020-06-22,3480.0
2020-06-23,3412.0
2020-06-24,3462.0
2020-06-25,3946.0
2020-06-26,3868.0
2020-06-27,3504.0
2020-06-28,3809.0
2020-06-29,4014.0
2020-06-30,3682.0
2020-07-01,3775.0
2020-07-02,4019.0
2020-07-03,3114.0
2020-07-04,3288.0
2020-07-05,2738.0
2020-07-06,3201.0
2020-07-07,3027.0
2020-07-08,3489.0
2020-07-09,3360.0
2020-07-10,2949.0
2020-07-11,2686.0
2020-07-12,2666.0
2020-07-13,3099.0
2020-07-14,3163.0
2020-07-15,3533.0
2020-07-16,2733.0
2020-07-17,3034.0
2020-07-18,2709.0
2020-07-19,2459.0
2020-07-20,2928.0
2020-07-21,3057.0
2020-07-22,2744.0
2020-07-23,2856.0
2020-07-24,2548.0
2020-07-25,2520.0
2020-07-26,2275.0
2020-07-27,2772.0
2020-07-28,2960.0
2020-07-29,3009.0
2020-07-30,2695.0
2020-07-31,2772.0
2020-08-01,2199.0
2020-08-02,886.0
2020-08-03,1356.0
2020-08-04,1918.0
2020-08-05,2654.0
2020-08-06,2977.0
2020-08-07,2851.0
2020-08-08,2611.0
