date,current
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,3
2020-02-21,14
2020-02-22,23
2020-02-23,35
2020-02-24,49
2020-02-25,79
2020-02-26,71
2020-02-27,170
2020-02-28,281
2020-02-29,427
2020-03-01,749
2020-03-02,1144
2020-03-03,1968
2020-03-04,2278
2020-03-05,2667
2020-03-06,3710
2020-03-07,4009
2020-03-08,4238
2020-03-09,4530
2020-03-10,5020
2020-03-11,5687
2020-03-12,6687
2020-03-13,7891
2020-03-14,9159
2020-03-15,8624
2020-03-16,9548
2020-03-17,9792
2020-03-18,10837
2020-03-19,11413
2020-03-20,11466
